dataset,video_id,conversation_id,level,level_label,episode_id,n_episode_utterances,dyad_ss,dyad_df,speaker_ss,speaker_df,episode_dispersion_dyad,episode_dispersion_speaker
wired,moravec,wired_moravec_16,4,expert,0,53.0,41.98753974663658,52.0,40.92903242920575,51.0,0.898583711979757,0.8958404141539302
wired,nano,wired_nano_12,0,child,0,31.0,24.380959605364012,30.0,23.131583145842235,29.0,0.9014980052735191,0.8931073833154056
wired,nano,wired_nano_12,0,child,1,27.0,20.284659010361217,26.0,19.260259838718518,25.0,0.8832775286998988,0.8777302510160743
wired,nano,wired_nano_13,1,teenager,0,14.0,9.958523844285029,13.0,9.084840074951606,12.0,0.8752372796643394,0.8700976992533466
wired,nano,wired_nano_13,1,teenager,1,47.0,37.27736362699869,46.0,35.87156309654029,45.0,0.9002096812144077,0.892830245113697
wired,nano,wired_nano_14,2,undergraduate,0,86.0,69.89090405546926,85.0,68.99176368179036,84.0,0.9067777732522695,0.9062728728265642
wired,nano,wired_nano_15,3,graduate,0,34.0,24.07777547829437,33.0,22.83500248740495,32.0,0.8541835633798593,0.8447448299524565
wired,nano,wired_nano_16,4,expert,0,83.0,65.57650571052417,82.0,63.69807436665552,81.0,0.8942670094969875,0.8867897044030526
wired,neuro,wired_neuro_12,0,child,0,12.0,8.670462384840446,11.0,7.569947345826238,10.0,0.8878197188434785,0.8700544434589274
wired,neuro,wired_neuro_13,1,teenager,0,13.0,9.490077810507819,12.0,8.279772085710047,11.0,0.8892917505196584,0.8675866257880926
wired,neuro,wired_neuro_14,2,undergraduate,0,20.0,15.024978941539114,19.0,14.353787136816308,18.0,0.8892628212987226,0.8929908278991543
wired,neuro,wired_neuro_15,3,graduate,0,16.0,11.765615533893452,15.0,10.86604451447241,14.0,0.8856491229184559,0.8809915077615841
wired,neuro,wired_neuro_16,4,expert,0,23.0,17.297548679804613,22.0,16.490943080234352,21.0,0.8867086402637517,0.8861619512372912
wired,nuclear,wired_nuclear_12,0,child,0,29.0,22.56180708828643,28.0,20.424220666847162,27.0,0.8976518392905226,0.8697428454955152
wired,nuclear,wired_nuclear_12,0,child,1,44.0,35.06268073727635,43.0,34.048021905412575,42.0,0.903001207051607,0.9003705838287416
wired,nuclear,wired_nuclear_13,1,teenager,0,58.0,46.71676524982222,57.0,45.64020106922975,56.0,0.9053134113686258,0.9027754928673904
wired,nuclear,wired_nuclear_14,2,undergraduate,0,117.0,94.03573771791531,116.0,92.56339930187056,115.0,0.9003626554679725,0.8971617046910171
wired,nuclear,wired_nuclear_15,3,graduate,0,97.0,79.17286263966822,96.0,77.50658533361661,95.0,0.9081394822180184,0.9032490204730023
wired,nuclear,wired_nuclear_16,4,expert,0,44.0,34.036431231434335,43.0,33.32453643464615,42.0,0.8896880983574738,0.8907532451145217
wired,sensing,wired_sensing_12,0,child,0,29.0,23.291848389119508,28.0,22.441113332082153,27.0,0.9120590595914497,0.911675570382728
wired,sensing,wired_sensing_12,0,child,1,23.0,16.57372211056284,22.0,15.936515533667201,21.0,0.8679579511851848,0.8711381590077377
wired,sensing,wired_sensing_13,1,teenager,0,19.0,15.0056768230099,18.0,14.46790688953576,17.0,0.9130436530579679,0.9225255261743601
wired,sensing,wired_sensing_13,1,teenager,1,34.0,26.07635591494677,33.0,23.202591416495316,32.0,0.8889277830528391,0.8515168710985582
wired,sensing,wired_sensing_13,1,teenager,2,37.0,29.167185246653943,36.0,27.160712706702025,35.0,0.9001108766062278,0.8809201797260802
wired,sensing,wired_sensing_14,2,undergraduate,0,10.0,6.935055082056846,9.0,6.457594923460691,8.0,0.877816424877146,0.8984427446602185
wired,sensing,wired_sensing_14,2,undergraduate,1,11.0,7.687814820145319,10.0,6.603047006751638,9.0,0.876801848774586,0.8565464900628984
wired,sensing,wired_sensing_14,2,undergraduate,2,42.0,32.02810683477173,41.0,30.78615253294556,40.0,0.8838401085227219,0.8772991583967461
wired,sensing,wired_sensing_15,3,graduate,0,14.0,10.243801397843763,13.0,9.51729104145245,12.0,0.8876850358719914,0.890565880094058
wired,sensing,wired_sensing_15,3,graduate,1,20.0,15.854504293717145,19.0,15.225873132794653,18.0,0.9134810312240564,0.9197183485778753
wired,sensing,wired_sensing_15,3,graduate,2,27.0,19.843206210613033,26.0,18.9667216516399,25.0,0.8736133234273228,0.8710159964464464
wired,sensing,wired_sensing_16,4,expert,0,29.0,22.850266369758756,28.0,21.701857457945238,27.0,0.9033719841665993,0.8965336014017635
wired,sensing,wired_sensing_16,4,expert,1,27.0,21.4771977920048,26.0,19.826091827780843,25.0,0.9088707657985604,0.8905299956268928
wired,sleep,wired_sleep_12,0,child,0,13.0,9.58490715337264,12.0,9.024163033699544,11.0,0.8937238179555546,0.9057474579644424
wired,sleep,wired_sleep_12,0,child,1,16.0,12.432560571180943,15.0,11.642239774508845,14.0,0.9104050589776305,0.9119147741549428
wired,sleep,wired_sleep_12,0,child,2,64.0,51.97072360809467,63.0,50.41554700662023,62.0,0.9082577391706649,0.9017505109384445
wired,sleep,wired_sleep_13,1,teenager,0,80.0,62.53883450068565,79.0,60.480403255293524,78.0,0.8897363747000431,0.8805621984415842
wired,sleep,wired_sleep_14,2,undergraduate,0,20.0,15.239908059821321,19.0,14.243005195055531,18.0,0.8956005941272718,0.8895381196958194
wired,sleep,wired_sleep_14,2,undergraduate,1,29.0,20.194635861653197,28.0,19.42271814880418,27.0,0.8492567309471516,0.8481508895457175
wired,sleep,wired_sleep_15,3,graduate,0,10.0,7.2537160396254325,9.0,6.825948643206254,8.0,0.8977574554673831,0.9237118492261436
wired,sleep,wired_sleep_15,3,graduate,1,35.0,24.619083812618115,34.0,23.85710338825683,33.0,0.850935191639834,0.8502602701037334
wired,sleep,wired_sleep_16,4,expert,0,31.0,20.792643258184697,30.0,19.9903535118341,29.0,0.8325191340781043,0.8302545000726169
wired,talia,wired_Talia_12,0,child,0,27.0,21.45045306869094,26.0,20.154431895806713,25.0,0.9083046987211298,0.8978737527248853
wired,talia,wired_Talia_13,1,teenager,0,60.0,49.106310404238755,59.0,45.92844704261894,58.0,0.9123104437824634,0.8898706516100406
wired,talia,wired_Talia_14,2,undergraduate,0,7.0,4.825608358974005,6.0,4.0708478086304645,5.0,0.8968099351752303,0.9023134498200128
wired,talia,wired_Talia_14,2,undergraduate,1,19.0,14.199472280725779,18.0,12.481273588393243,17.0,0.8881776686853999,0.8568503743496481
wired,talia,wired_Talia_14,2,undergraduate,2,18.0,11.619128301929909,17.0,10.832447791524537,16.0,0.8267273646176481,0.8228171042037735
wired,talia,wired_Talia_15,3,graduate,0,10.0,6.949720123776108,9.0,6.165953741063136,8.0,0.878744061068985,0.8779203936763811
wired,talia,wired_Talia_15,3,graduate,1,18.0,13.39376088581303,17.0,10.95213373418671,16.0,0.8876194496521392,0.8273502029894411
wired,talia,wired_Talia_15,3,graduate,2,15.0,10.488734170420141,14.0,9.94319152213885,13.0,0.8655606841158816,0.8745632546124797
wired,talia,wired_Talia_16,4,expert,0,44.0,31.86126920175475,43.0,31.001196905046147,42.0,0.8607901886511123,0.8591412781576916
wired,time,wired_time_12,0,child,0,12.0,8.579499405503139,11.0,8.089011552499935,10.0,0.8831503220909656,0.8993893235134568
wired,time,wired_time_12,0,child,1,23.0,17.644569622302008,22.0,15.725599392765417,21.0,0.895558982939046,0.8653543010363806
wired,time,wired_time_12,0,child,2,45.0,35.55262713636093,44.0,34.92430580983448,43.0,0.8988961303171308,0.901217597680074
wired,time,wired_time_13,1,teenager,0,71.0,57.99425667688335,70.0,56.8845337807462,69.0,0.9102139205144764,0.9079722094063742
wired,time,wired_time_14,2,undergraduate,0,61.0,50.051844859967815,60.0,49.17536317370063,59.0,0.9133440832089498,0.9129516590475302
wired,time,wired_time_15,3,graduate,0,12.0,9.02013894916489,11.0,8.144856432393864,10.0,0.9055454884997566,0.902488583439916
wired,time,wired_time_15,3,graduate,1,91.0,73.79288561990131,90.0,72.60343066575956,89.0,0.9054948654367052,0.9031992492716869
wired,time,wired_time_16,4,expert,0,63.0,49.664129928714075,62.0,48.91334493651502,61.0,0.895005225509291,0.8954653057005396
wired,zero,wired_zero_12,0,child,0,57.0,46.42460304191215,56.0,45.11871010578517,55.0,0.9105002847915942,0.9057263293851783
wired,zero,wired_zero_13,1,teenager,0,53.0,42.43285393366257,52.0,41.053791298105466,51.0,0.9033362728249117,0.8972047146347663
wired,zero,wired_zero_14,2,undergraduate,0,46.0,36.98580372052468,45.0,36.006563780363194,44.0,0.9065907286890776,0.9046164905683813
wired,zero,wired_zero_14,2,undergraduate,1,69.0,55.161835620144,68.0,53.813146897482085,67.0,0.9006683435105941,0.8962038255761602
wired,zero,wired_zero_15,3,graduate,0,22.0,17.148768822876878,21.0,16.298023142793443,20.0,0.9036636759240759,0.9027187586062849
wired,zero,wired_zero_15,3,graduate,1,48.0,36.74266432209701,47.0,35.66850521882026,46.0,0.8841712590690597,0.880569297310358
wired,zero,wired_zero_16,4,expert,0,32.0,24.43835901031613,31.0,22.978443992379674,30.0,0.8878818398993759,0.875184627995329
wired,zero,wired_zero_16,4,expert,1,75.0,59.81917034998191,74.0,58.39545193034266,73.0,0.8990924128762557,0.8943923622638594
