dataset,video_id,conversation_id,level,level_label,n_utterances,expert_utterance_proportion,pr_naive,pr_row_corrected,pr_both_corrected,mean_sdi,median_sdi,directional_innovation_mean,directional_persistence_mean,sustained_direction_precision,sustained_direction_variation,n_sdi_events,total_sdi_weight,mean_sdi_expert,mean_sdi_partner,match_id
wired,laser,wired_laser_14,2,undergraduate,64,0.78125,24.92016769416954,41.065916875687975,46.250425034224214,0.5159844875215602,0.5028591005977738,0.9990894271513405,0.5284251193613106,0.08353790849916921,0.9164620915008308,6.0,3.0959069251293614,0.6737021347554846,0.35826684028763606,wired::laser
wired,laser,wired_laser_15,3,graduate,53,0.6792452830188679,23.77283455048558,43.436153473996136,49.246116615920904,0.48517357323500215,0.5036917278877961,1.0331005667038284,0.47281342677852234,0.07398098995553143,0.9260190100444685,16.0,7.7627771717600345,0.5323500193223972,0.4379971271476072,wired::laser
wired,laser,wired_laser_16,4,expert,111,0.38738738738738737,34.18713945110865,49.53183036709964,57.422656874530006,0.3945513537286559,0.3855165174025682,0.9915606104389999,0.41453628577097185,0.09564182717757592,0.904358172822424,34.0,13.414746026774301,0.36802352110914427,0.42107918634816754,wired::laser
wired,machine,wired_machine_12,0,child,69,0.6231884057971014,21.354120840955645,30.78058303747739,33.67055737503319,0.45897730288969224,0.41092356810569247,0.9952221167155689,0.4543776563703092,0.101651388137269,0.898348611862731,27.0,12.392387178021691,0.47597161382869985,0.4406757372630687,wired::machine
wired,machine,wired_machine_13,1,teenager,65,0.5538461538461539,26.356253408495714,44.398856107030255,50.530399821025185,0.5045759789491203,0.47644390383338675,1.028608763984004,0.4941303907620614,0.06828115893089218,0.9317188410691079,14.0,7.064063705287684,0.5390086922199788,0.4701432656782618,wired::machine
wired,machine,wired_machine_14,2,undergraduate,57,0.5789473684210527,28.520629654189356,58.523510805408485,69.57475394318763,0.4808273190231374,0.48057634360575885,0.9741413595318782,0.5079227249882615,0.056344077748284434,0.9436559222517156,14.0,6.731582466323924,0.5175054382531262,0.44414919979314854,wired::machine
wired,machine,wired_machine_15,3,graduate,28,0.39285714285714285,18.65332715450023,59.1058990627002,70.64506878541812,0.44797006214707774,0.476064401519383,1.0404595409161457,0.4295269365408332,0.07923760325117588,0.9207623967488241,6.0,2.6878203728824666,0.42512252935812905,0.47081759493602665,wired::machine
wired,machine,wired_machine_16,4,expert,62,0.46774193548387094,31.484457202638037,64.91456330775637,78.98473896233197,0.3785272276530355,0.38575538357110717,0.9118882755583442,0.4146793332962774,0.07765753937684185,0.9223424606231582,10.0,3.7852722765303546,0.3142342277289356,0.4428202275771353,wired::machine
wired,memory,wired_memory_12,0,child,41,0.6341463414634146,18.851364399592033,36.44487294266446,40.456558347667126,0.4484011923799792,0.47246376922990263,0.9381366650112797,0.48727780476506816,0.0858881265177795,0.9141118734822204,9.0,4.035610731419813,0.4433787898439826,0.45467919554997493,wired::memory
wired,memory,wired_memory_13,1,teenager,34,0.7647058823529411,18.369635648536793,41.01302661766167,46.144654692733276,0.4896639781210876,0.5135980650156675,1.0365083392503458,0.4959554943019498,0.08142259370642718,0.9185774062935728,3.0,1.4689919343632627,0.5458759789107239,0.3772399765418148,wired::memory
