dataset,video_id,conversation_id,level,level_label,episode_id,turn_order,speaker_role,innovation_magnitude,directional_innovation_magnitude,directional_innovation_fraction,directional_persistence,within_episode_sdi
wired,talia,wired_Talia_14,2,undergraduate,1,14,expert,0.9979773495548715,0.9545107249545591,0.9564452794237702,0.545467107925714,0.52065420462504
wired,talia,wired_Talia_14,2,undergraduate,1,15,partner,1.3203659074763867,1.2257349159394746,0.928329722085366,0.3794042189853196,0.46504899846505277
wired,talia,wired_Talia_14,2,undergraduate,1,16,expert,1.2402242927865716,1.2401005601147408,0.999900233632295,0.5267812846432752,0.6532617661440883
wired,talia,wired_Talia_14,2,undergraduate,1,17,partner,1.1216874994701613,1.113205632255107,0.9924382974580234,0.3954245928917001,0.4401888839392233
wired,talia,wired_Talia_14,2,undergraduate,2,24,expert,0.8934980100002747,0.8649939829851271,0.9680983878004307,0.39126055203414783,0.3384380232889771
wired,talia,wired_Talia_14,2,undergraduate,2,25,partner,1.284464088651859,1.247565754891362,0.9712733628853758,0.31450249954734055,0.3923625482629981
wired,talia,wired_Talia_14,2,undergraduate,2,26,expert,0.9597043861970118,0.9200982560730788,0.9587309064181341,0.3509352807966667,0.32289493985552925
wired,talia,wired_Talia_15,3,graduate,0,4,partner,1.3365020264469896,1.3303586221218258,0.9954033707360017,0.2551049225385252,0.3393810332448475
wired,talia,wired_Talia_15,3,graduate,0,5,expert,1.0017327075398088,0.9734459124533043,0.9717621328777943,0.6405924315231014,0.6235820840146863
wired,talia,wired_Talia_15,3,graduate,1,12,partner,1.1938444431504902,1.143748799171995,0.958038382415004,0.35148167825671195,0.4020067474370718
wired,talia,wired_Talia_15,3,graduate,1,13,expert,0.9346708124991983,0.9225640589417342,0.9870470400952406,0.40089278931185546,0.36984927890801883
wired,talia,wired_Talia_15,3,graduate,1,14,partner,1.112016844579328,1.0011781230455201,0.9003264005621803,0.3898554303007685,0.390314727967627
wired,talia,wired_Talia_15,3,graduate,1,15,expert,1.06921305404358,1.006156421256565,0.9410251936697867,0.6523627716104363,0.6563789916445705
wired,talia,wired_Talia_15,3,graduate,1,16,partner,1.2903722967834725,1.2742548546926575,0.9875094636393088,0.2667923650308544,0.33996146633550184
wired,talia,wired_Talia_15,3,graduate,2,23,expert,0.9538749342756744,0.924746556320165,0.9694631057911198,0.5177557990579446,0.4787928921936296
wired,talia,wired_Talia_16,4,expert,0,4,partner,0.8626508946966428,0.8254013211014597,0.9568196430037449,0.46018982968070465,0.37984129337590933
wired,talia,wired_Talia_16,4,expert,0,5,expert,1.0802679827522939,1.079529035576897,0.9993159593839728,0.3489911458286239,0.3767460750812506
wired,talia,wired_Talia_16,4,expert,0,6,partner,0.6267192800663252,0.6123208827393958,0.9770257629119331,0.45154727315375265,0.2764918248960729
wired,talia,wired_Talia_16,4,expert,0,7,expert,0.7482864996342202,0.748088979315271,0.9997360365046737,0.4239953582604924,0.3171862547955044
wired,talia,wired_Talia_16,4,expert,0,8,partner,1.240829453906355,1.2394601148441147,0.9988964324960788,0.31054233185297586,0.38490483430244865
wired,talia,wired_Talia_16,4,expert,0,9,expert,0.8766160153665823,0.8708553563005691,0.9934285263262073,0.5351403766335084,0.4660298633639947
wired,talia,wired_Talia_16,4,expert,0,10,partner,1.0633911017536863,1.0281608843068533,0.9668699339408612,0.3365459656249572,0.34602339762685985
wired,talia,wired_Talia_16,4,expert,0,11,expert,0.8133427631431238,0.8130022288748301,0.9995813151788832,0.4399323070964691,0.3576659462234756
wired,talia,wired_Talia_16,4,expert,0,12,partner,0.8798826564701648,0.8457085108910664,0.9611605646176089,0.13867255916500432,0.11727656351288909
wired,talia,wired_Talia_16,4,expert,0,13,expert,0.8104794144635887,0.7361577640646454,0.9082991510042967,0.4742356972814912,0.34911229055038057
wired,talia,wired_Talia_16,4,expert,0,14,partner,0.7673123337466909,0.7467946813805648,0.9732603641767177,0.3058354407219107,0.22839628050880392
wired,astro,wired_astro_12,0,child,0,4,partner,1.1913096529681035,1.1397005362361377,0.9566786715743129,0.525412350776935,0.5988127379255626
wired,astro,wired_astro_12,0,child,0,5,expert,1.098632978099624,1.0083426667538433,0.9178157645487035,0.7704671308838147,0.7768948814015681
wired,astro,wired_astro_12,0,child,0,6,partner,1.2588428233419648,1.2580779230568728,0.9993923782446001,0.40021649584505026,0.5035035378658405
wired,astro,wired_astro_12,0,child,1,13,expert,0.8327975085940217,0.8206271889587851,0.9853862199266559,0.3578043100030273,0.293623945115122
wired,astro,wired_astro_12,0,child,1,14,partner,0.9862431333377241,0.9712269368581324,0.9847743462306731,0.5210118793444396,0.506020771642399
wired,astro,wired_astro_12,0,child,1,15,expert,0.988721222055176,0.9697678191907186,0.9808303873299683,0.5326067364535659,0.5165048732968605
wired,astro,wired_astro_12,0,child,1,16,partner,1.2504501397943533,1.2257555638469464,0.9802514509275448,0.22022491438539166,0.26994191410561125
wired,astro,wired_astro_12,0,child,1,17,expert,0.6819927917964504,0.6622744333556613,0.97108714537903,0.4522528986693306,0.29951553219968624
wired,astro,wired_astro_12,0,child,1,18,partner,0.9368561988013462,0.8984053948651873,0.9589576244611356,0.41038090261129667,0.36868841685563397
wired,astro,wired_astro_12,0,child,1,19,expert,0.8650692410576473,0.8635008203576909,0.9981869420082062,0.45572627053302855,0.3935200084638211
wired,astro,wired_astro_12,0,child,1,20,partner,0.8870427014506329,0.8545293844723629,0.9633463902853128,0.2753664360347411,0.2353087110891156
wired,astro,wired_astro_13,1,teenager,0,4,expert,1.0677189998826657,1.0316637546234102,0.9662315222786294,0.5847099265545597,0.6032240381948555
wired,astro,wired_astro_13,1,teenager,0,5,partner,0.8184551328569902,0.8008394892106624,0.978476958674796,0.38375677255844665,0.3073275777168388
wired,astro,wired_astro_13,1,teenager,0,6,expert,1.0914680203267257,1.019629674884882,0.934181905374311,0.40733245123945655,0.4153282548273492
wired,astro,wired_astro_13,1,teenager,0,7,partner,1.2415904242119769,1.1976929473679052,0.9646441564069749,0.25660569655742194,0.30733483302125303
wired,astro,wired_astro_13,1,teenager,0,8,expert,0.9237193263523108,0.8658768315055845,0.9373808762061103,0.30430467498252006,0.26349036778620116
wired,astro,wired_astro_13,1,teenager,0,9,partner,1.2240154370375753,1.2067327694762644,0.9858803516366385,0.3164969754644087,0.3819272717330272
wired,astro,wired_astro_13,1,teenager,0,10,expert,0.8414324758686866,0.8258010228759668,0.9814228076025192,0.38709562152030286,0.3196639602022742
wired,astro,wired_astro_14,2,undergraduate,0,4,partner,1.2295624906343336,1.0790080604386618,0.8775544705183076,0.659562683526822,0.7116734518899952
wired,astro,wired_astro_14,2,undergraduate,0,5,expert,0.9419425546326632,0.7864273828633447,0.8348995158937257,0.4144927226209565,0.3259684270667011
wired,astro,wired_astro_14,2,undergraduate,0,6,partner,1.1874965347591748,1.1541473536784557,0.9719163971384098,0.3471987773845764,0.4007185501188041
wired,astro,wired_astro_14,2,undergraduate,0,7,expert,0.8051883361990285,0.8016312806690814,0.9955823310261371,0.5115684332970492,0.41008925833378906
wired,astro,wired_astro_14,2,undergraduate,0,8,partner,1.0701710388047114,1.0529471148905665,0.9839054475494248,0.36532844761585925,0.38467153490456846
