dataset,video_id,conversation_id,level,level_label,turn_order,speaker_role,innovation_magnitude,directional_innovation_magnitude,directional_innovation_fraction,directional_persistence,sdi,sustained_direction_variation,sustained_direction_precision
wired,machine,wired_machine_13,1,teenager,6,partner,1.178450978831235,1.1302523549060908,0.9591000179117286,0.3523948413907483,0.3982950993386516,0.8899031357621183,0.11009686423788168
wired,machine,wired_machine_13,1,teenager,7,expert,0.9744200021736917,0.9244369980947472,0.9487048665171144,0.507169859763541,0.46884658268394175,0.9359648114200583,0.06403518857994173
wired,machine,wired_machine_13,1,teenager,8,partner,1.2045120238191505,1.1952699048679405,0.992327084521001,0.612063954847044,0.7315816250831217,0.9197623272848692,0.08023767271513083
wired,machine,wired_machine_13,1,teenager,9,expert,0.9660865717184224,0.8037194804566415,0.8319331869256779,0.6410965205382821,0.5152617624095888,0.9814037009167894,0.018596299083210588
wired,machine,wired_machine_13,1,teenager,10,partner,1.1660219558460083,1.1653561206569332,0.9994289685655262,0.29593785264299377,0.3448729879115824,0.8877132925699507,0.11228670743004932
wired,machine,wired_machine_13,1,teenager,11,expert,1.0192753575252018,1.0011952831102091,0.9822618350551774,0.41462052778458014,0.41511611669858706,0.936389509711159,0.06361049028884103
wired,machine,wired_machine_13,1,teenager,12,partner,1.1588961988817459,1.1459640056672151,0.9888409391384678,0.4891096577580831,0.5605020626149736,0.8699771145991583,0.13002288540084173
wired,machine,wired_machine_13,1,teenager,13,expert,1.0857825543792958,1.0845933838766857,0.9989047802446145,0.4774641115819317,0.5178544164603227,0.9220742206985125,0.07792577930148747
wired,machine,wired_machine_13,1,teenager,14,partner,1.0814701419064254,1.0535500401667992,0.9741831968736717,0.45943828629743855,0.48404122498283175,0.9371796846622686,0.06282031533773136
wired,machine,wired_machine_13,1,teenager,15,expert,0.8490606752670367,0.8240939196664135,0.9705948510761714,0.5554725387278335,0.457761541707274,0.970286586464024,0.029713413535976008
wired,machine,wired_machine_13,1,teenager,16,partner,1.027632594040998,1.024073979751139,0.9965370753015316,0.3192432607189346,0.3269287165131698,0.9111211467674305,0.0888788532325695
wired,machine,wired_machine_13,1,teenager,17,expert,0.9275782667102909,0.9237045924510633,0.9958238841947412,0.6394683267175267,0.5906798301159765,0.9589220478873812,0.041077952112618776
wired,machine,wired_machine_14,2,undergraduate,4,partner,0.9846945794497401,0.8717251093746645,0.8852746095758041,0.8779632658188844,0.7653426239229046,0.9968279558082896,0.003172044191710355
wired,machine,wired_machine_14,2,undergraduate,5,expert,1.146018171834898,1.1059635280460003,0.9650488580597888,0.6540663376628761,0.723373514377761,0.9544373158026291,0.04556268419737086
wired,machine,wired_machine_14,2,undergraduate,6,partner,1.0673548092408516,0.9667026906917485,0.9056994753023159,0.48672346502966013,0.4705168832669836,0.9381868976388027,0.0618131023611973
wired,machine,wired_machine_14,2,undergraduate,7,expert,0.9263858222539594,0.9189058720693478,0.9919256642255122,0.5956219680531454,0.5473205239775368,0.9649200745931723,0.035079925406827694
wired,machine,wired_machine_14,2,undergraduate,8,partner,0.9059742790376561,0.8754526671125968,0.9663107301915389,0.385289096098562,0.3373023667888877,0.9121193734766834,0.08788062652331663
wired,machine,wired_machine_14,2,undergraduate,9,expert,0.8926344320664988,0.8903585698930305,0.9974503984019562,0.6877488600754602,0.6123430915023487,0.9781207495582946,0.021879250441705356
wired,machine,wired_machine_14,2,undergraduate,10,partner,0.9552916706147324,0.9000367032407631,0.942159060866348,0.3597788115678134,0.3238141354593745,0.8899562412566537,0.11004375874334626
wired,machine,wired_machine_14,2,undergraduate,11,expert,0.7103235354682297,0.7094402893541427,0.9987565580035251,0.8104095934050267,0.5749372164406353,0.9846094510496197,0.015390548950380278
wired,machine,wired_machine_14,2,undergraduate,12,partner,1.0608877360922369,1.0603131552255163,0.9994583961637292,0.4563403542355097,0.4838636808561831,0.9277788475675725,0.07222115243242755
wired,machine,wired_machine_14,2,undergraduate,13,expert,1.0702683148022771,1.0499980335552441,0.9810605611997782,0.48213120576117036,0.5062368179648477,0.9544220392346942,0.04557796076530585
wired,machine,wired_machine_14,2,undergraduate,14,partner,1.297440187983444,1.2889028014207289,0.9934198226301453,0.3703064388014593,0.4772890063553346,0.8827614818093413,0.11723851819065867
wired,machine,wired_machine_14,2,undergraduate,15,expert,1.1957756695903592,1.172530346158481,0.9805604646222464,0.2065563568461584,0.24219359659406084,0.811740142721353,0.18825985727864702
wired,machine,wired_machine_14,2,undergraduate,16,partner,1.0128139146967534,0.9489100458900886,0.9369046298828396,0.26442517179487746,0.2509157019023717,0.8810580126882152,0.11894198731178485
wired,machine,wired_machine_14,2,undergraduate,17,expert,0.8897604061050676,0.8787392214139408,0.9876133118348571,0.47355722468505673,0.41613330691469336,0.955117543204656,0.04488245679534397
wired,machine,wired_machine_15,3,graduate,4,partner,0.9832789266183887,0.9666885710442633,0.983127518422301,0.5295969186433466,0.5119552885127817,0.9663796169397657,0.03362038306023429
wired,machine,wired_machine_15,3,graduate,5,expert,1.0619934313577732,1.059467026036202,0.9976210725528322,0.535461666815805,0.5673039796977286,0.9283186947006092,0.07168130529939076
wired,machine,wired_machine_15,3,graduate,6,partner,1.1029430164634346,1.0984328231573977,0.9959107648901983,0.4499218292879156,0.4942089051448658,0.932837852404301,0.06716214759569905
wired,machine,wired_machine_15,3,graduate,7,expert,1.0513968049232767,1.0467564883990121,0.995586522135571,0.43746554520457503,0.45791989789390025,0.904623731966647,0.09537626803335297
wired,machine,wired_machine_15,3,graduate,8,partner,1.164747924486093,1.1565835453171434,0.9929904325233763,0.3512833921902504,0.4062885911504323,0.8589182397604558,0.14108176023954422
wired,machine,wired_machine_15,3,graduate,9,expert,0.9196617536151162,0.9148287915428549,0.9947448482507204,0.27343226710310686,0.25014371048275835,0.9163980991318386,0.08360190086816144
wired,machine,wired_machine_16,4,expert,4,expert,0.8618380942876628,0.8519888904076655,0.9885718629215078,0.5036527387680299,0.42910653805375554,0.9603594809127809,0.039640519087219106
wired,machine,wired_machine_16,4,expert,5,partner,0.9881574287176187,0.9771542434782804,0.9888649471019951,0.5617791385622377,0.5489448691436635,0.9623240035403815,0.0376759964596185
wired,machine,wired_machine_16,4,expert,6,expert,1.0503330690664636,1.0463696405727376,0.9962265031812766,0.39431314028311976,0.4125972988711555,0.9246713022744071,0.07532869772559292
wired,machine,wired_machine_16,4,expert,7,partner,1.072365883140098,1.0703037781561389,0.9980770509232175,0.5018662001854697,0.5371492901873733,0.8369651663767277,0.1630348336232723
wired,machine,wired_machine_16,4,expert,8,expert,0.8704101547728591,0.8685019634735188,0.9978077102043507,0.2230140696786394,0.19368815739811845,0.887785550089866,0.11221444991013396
wired,machine,wired_machine_16,4,expert,9,partner,0.8533990456826762,0.7122287235040814,0.8345787672325081,0.5039300668825134,0.3589134682710589,0.9574990922988299,0.0425009077011701
wired,machine,wired_machine_16,4,expert,10,expert,0.8653385227060918,0.8560254501881442,0.989237654080379,0.37366956105678506,0.3198706542252407,0.9449672150736237,0.05503278492637631
wired,machine,wired_machine_16,4,expert,11,partner,1.0834080599488867,1.0747307701250137,0.9919907464734253,0.3870405302276066,0.4159643671211093,0.8933701611084378,0.10662983889156219
wired,machine,wired_machine_16,4,expert,12,expert,0.8956476958198696,0.8812060228794135,0.9838757214373001,0.24501476895369953,0.21590849009640797,0.8971961987035884,0.10280380129641165
wired,machine,wired_machine_16,4,expert,13,partner,0.8070252526703416,0.7803732727984489,0.9669750360541114,0.45251311836467256,0.3531291431624714,0.9533715643297294,0.04662843567027064
wired,memory,wired_memory_12,0,child,4,expert,0.8189148141055406,0.7953290829544754,0.9711987977921759,0.4204940850035682,0.3344311750136691,0.9628289204584304,0.03717107954156962
wired,memory,wired_memory_12,0,child,5,partner,1.1063576001960373,1.104688563618856,0.9984914131037883,0.4680403722774214,0.5170388465667792,0.8537081274965558,0.14629187250344422
wired,memory,wired_memory_12,0,child,6,expert,0.872398536043744,0.8601697860981533,0.9859826106517406,0.6233668800843613,0.5362013559028382,0.9183464852786156,0.08165351472138438
wired,memory,wired_memory_12,0,child,7,partner,1.301372019474196,1.2513296007790367,0.9615464156695639,0.2653953826239516,0.33209709818742905,0.7698132490597757,0.23018675094022434
wired,memory,wired_memory_12,0,child,8,expert,0.9565916967096055,0.9258325969472164,0.9678451110655056,0.7035052479480424,0.6513280906737314,0.9705401361708103,0.029459863829189747
wired,memory,wired_memory_12,0,child,9,partner,1.160477445476334,1.1545912926518382,0.9949278179869538,0.43055674452041126,0.4971170682157889,0.8520123882578629,0.14798761174213715
wired,memory,wired_memory_12,0,child,10,expert,0.8003972265335991,0.773122847782357,0.9659239464505277,0.5734477170039314,0.44334553202437055,0.9647269214893894,0.03527307851061057
wired,memory,wired_memory_12,0,child,11,partner,0.8640796847268298,0.8537603846908746,0.9880574671302386,0.5533915343249032,0.47246376922990263,0.9562011118900575,0.04379888810994248
wired,memory,wired_memory_12,0,child,12,expert,0.7358982449330179,0.7244058295787086,0.9843831461286611,0.3473022790990231,0.25158779560530403,0.9633230824034361,0.036676917596563885
wired,memory,wired_memory_13,1,teenager,4,expert,0.9088013298683173,0.8565714827309954,0.9425288614555258,0.6749628074967662,0.5781538928057804,0.981406278824991,0.018593721175009015
wired,memory,wired_memory_13,1,teenager,5,partner,1.2485087311082999,1.2463467021455525,0.9982683108977328,0.3026765954388183,0.3772399765418148,0.769840090830273,0.23015990916972695
wired,memory,wired_memory_13,1,teenager,6,expert,1.0117702252053518,1.0066068328744902,0.9948966749532399,0.5102270799702648,0.5135980650156675,0.9570995610860107,0.042900438913989314
wired,memory,wired_memory_14,2,undergraduate,4,expert,0.9099141311874763,0.8834202959907828,0.9708831478822195,0.5296364196084964,0.46789156257803627,0.9474101798644723,0.05258982013552771
wired,memory,wired_memory_14,2,undergraduate,5,partner,0.9673199039904856,0.9280352301685264,0.9593881262435958,0.6967271853926029,0.6465873738604938,0.7233148436396492,0.27668515636035085
wired,memory,wired_memory_14,2,undergraduate,6,expert,0.7666831964956708,0.759881169151161,0.9911279817053622,0.2553543274411755,0.19403894488380882,0.9219998840129726,0.07800011598702739
wired,memory,wired_memory_14,2,undergraduate,7,partner,1.0188812452316724,0.8341240436220543,0.8186665988061965,0.20485679328013176,0.17087597677427077,0.868870275668102,0.13112972433189796
wired,memory,wired_memory_14,2,undergraduate,8,expert,0.6536922770256047,0.5907941693056501,0.9037802496198151,0.49665462764190993,0.29342065816950913,0.9582535286268214,0.04174647137317855
