convo_id,speaker_A,speaker_B,n_trigrams,n_A,n_B,centroid_dist_mean,centroid_dist_std,centroid_dist_slope,cross_nn_A_to_B,cross_nn_B_to_A,hausdorff_AB,influence_A_toward_B,influence_B_toward_A,influence_asymmetry_AminusB,turn_jump_mean,turn_jump_std,turn_jump_A_to_B_mean,turn_jump_B_to_A_mean,hull_area_A,hull_area_B,hull_overlap_area,hull_overlap_ratio_min,containment_A_in_B,containment_B_in_A,k_clusters,entropy_total,entropy_A,entropy_B,mi_speaker_cluster,nmi_speaker_cluster,mi_turn_clusters,nmi_turn_clusters,entropy_slope_A,entropy_slope_B,align_eps,align_lag_A_to_B,align_lag_B_to_A,align_lag_asymmetry_AminusB,expertise_A,expertise_B,expertise_A_ord,expertise_B_ord,expertise_gap_signed,expertise_gap_abs
wired_sleep_13,Speaker 1 (Aric Prather),Speaker 3 (Dwayne),821,637,184,0.2535617227,0.1146063028,-0.0003882370325,0.9326052516,0.8086768653,0.9326052516,0.02664307735,0.1206090779,-0.09396600052,1.231452076,0.1238248134,1.248815158,1.212352686,0.5913051676,0.5280801097,0.5377022623,1.018221009,0.9230769231,0.9782608696,12,3.445898693,3.440514351,3.189738445,0.04268918021,0.02923331367,0.5725003882,0.3285516464,0.001262857978,0.008267679638,1.23347885,85.90837283,26.71875,59.18962283,,Teen,,1,,
wired_sleep_14,Speaker 1 (Aric Prather),Speaker 4 (College Student),682,545,137,0.2535135487,0.1218269092,-0.0004545833708,0.9531443457,0.7948812836,0.9531443457,0.04238897691,0.1317394958,-0.08935051886,1.239148072,0.1798635368,1.177103699,1.311533174,0.5949357471,0.6029345179,0.5556427002,0.9339541336,0.9633027523,0.9781021898,12,3.314716135,3.213026644,3.455219235,0.03676307136,0.0262667874,0.6237975055,0.4348789584,0.00247093573,0.01398417566,1.250870769,108.077634,24.71875,83.35888401,,College Student,,2,,
wired_sleep_15,Speaker 1 (Aric Prather),Speaker 5 (Mave),890,632,258,0.2851391139,0.1237614787,-0.0004251452703,0.9129637857,0.8268056758,0.9129637857,0.01917909754,0.1133143559,-0.0941352584,1.242561705,0.07298784028,1.200990429,1.284132981,0.6572077271,0.501746596,0.5054683039,1.007417505,0.8987341772,0.992248062,12,3.437887931,3.422712095,3.26407194,0.0423954154,0.0284055112,0.6162755332,0.3939204348,0.001718043067,0.005590489861,1.244593072,113.0339257,28.84297521,84.19095048,,Graduate Student,,3,,
wired_sleep_16,Speaker 1 (Aric Prather),Speaker 6 (Yue),792,510,282,0.2458778699,0.1328786989,-0.000473119577,0.9016466851,0.8423100086,0.9016466851,0.04099504783,0.08360444292,-0.04260939509,1.314030991,0.06101002028,1.312619016,1.315442965,0.6576027351,0.6790999615,0.6442815463,0.979742802,0.9392156863,0.9468085106,12,3.46557483,3.473374148,3.350827207,0.02483880465,0.01627028994,0.8440902638,0.5888525021,0.002202722478,0.003441618846,1.264077303,53.96022727,47.74468085,6.215546422,,Expert,,4,,
wired_time_12,"Brian Greene, PhD",Kayla Martini (Child),620,592,28,0.5287991495,0.2081959458,-0.0009609467424,1.06480255,0.6090872792,1.06480255,0.02920496887,0.295512921,-0.2663079521,1.239400891,0.0884221772,1.205506009,1.273295774,0.6552348634,0.3285006123,0.3201400223,0.9745492409,0.7516891892,1.0,12,3.50456926,3.503192252,3.226474118,0.009616692989,0.007360101125,1.270769831,0.6981960359,0.001895431574,0.1027426118,1.235419536,135.6957364,6.214285714,129.4814507,Expert,Child,4.0,0,-4.0,4.0
wired_time_13,"Brian Greene, PhD",Maria Guseva (Teen),902,810,92,0.2510390752,0.09601601598,-0.0001833273039,1.056342029,0.9001047002,1.056342029,0.01767673001,0.1129904474,-0.0953137174,1.156563938,0.3907703099,1.29773118,1.015396695,0.6507393969,0.3683956139,0.3626147629,0.9843080353,0.787654321,0.9239130435,12,3.289562802,3.309899241,2.645176787,0.03289836174,0.02521336699,0.6108643021,0.4634447296,0.002098083021,0.0150966219,1.227060977,304.4062947,27.79120879,276.6150859,Expert,Teen,4.0,1,-3.0,3.0
wired_time_14,"Brian Greene, PhD",Zain Kamal (College Student),998,808,190,0.2242177817,0.122154316,-0.0002521309057,1.001840576,0.8434305619,1.001840576,0.02899219582,0.09449381179,-0.06550161597,1.28797592,0.0999349182,1.220550835,1.355401005,0.6044867217,0.4720876044,0.4705178617,0.9966748909,0.9121287129,0.9789473684,12,3.50394155,3.483576288,3.380494443,0.02771899844,0.01901477696,0.8522757226,0.529091396,0.0008824426916,0.006843056082,1.248082385,123.6502809,29.12105263,94.52922827,Expert,College Student,4.0,2,-2.0,2.0
wired_time_15,"Brian Greene, PhD",Massimo Porrati (Expert),1649,829,820,0.2746747252,0.1583480316,-0.0003075224497,0.9142718722,0.911116911,0.9142718722,0.02478980713,0.06404053219,-0.03925072505,1.286592715,0.04774434982,1.313883023,1.250205637,0.569788382,0.534265924,0.5101594524,0.9548792642,0.9650180941,0.9804878049,12,3.440504368,3.426707692,3.406346981,0.01658109839,0.01077426445,0.8809501563,0.6232710931,0.0009674854229,0.0006251095125,1.241046583,285.6296743,41.52272727,244.106947,Expert,Expert,4.0,4,0.0,0.0
wired_Talia_12,Speaker 1 (Talia Gershon),Speaker 2 (Child),402,386,16,0.5790322114,0.1639912403,-0.000300605613,1.125939912,0.8375430433,1.125939912,0.0522907738,0.3261382669,-0.2738474931,1.268899158,0.09210296141,1.281851258,1.255947059,0.6383449663,0.1957384332,0.2033947517,1.039115049,0.3393782383,1.0,12,3.385781803,3.388109491,2.483458593,0.0233440309,0.01857007137,1.329661349,0.8519590445,0.002570732141,0.1580666681,1.224515554,121.5276753,7.8,113.7276753,,Child,,0,,
wired_Talia_13,Speaker 1 (Talia Gershon),Speaker 3 (Teenager/Young Adult),734,663,71,0.4690112141,0.2346619998,-0.0009913293067,1.046118117,0.8681598187,1.046118117,0.01652686197,0.1927313065,-0.1762044445,1.246214087,0.09642638739,1.227397481,1.267382769,0.6365364698,0.3415270183,0.3345110953,0.9794571949,0.7873303167,0.9718309859,12,3.288992043,3.323458689,2.633352244,0.02238000353,0.01723133183,0.9627637104,0.5300272821,0.001643480587,0.02533601503,1.25235818,109.148773,6.744186047,102.404587,,Teen,,1,,
