type,comment_id,parent_id,author,text,likes,published_at
top,Ugxi0kk1DfRnyt0gz8J4AaABAg,,@MrDeuce006,Lmao came to the same conclusion Hasan did towards the end,1,1762732800
top,Ugx88ju-TeRG0EUelRN4AaABAg,,@aradiiiah,"sydney sweeney graduated valedictorian btw, this is deliberate not stupidity",0,1762732800
top,Ugyq6lJulMYcdG4CHrN4AaABAg,,@acreativename2781,Why does hasan act like you have to be read to be a white supremacist? Im so confused. It does sound like he is defending her a bit ngl 😅,5,1762732800
top,UgzhTuD-gMd2uOgfjRd4AaABAg,,@ksmurfer,this was almost enjoyable but ofc the chat was absurdly obtuse and I imploded,1,1762732800
top,Ugx24yGbJNd70q5miLh4AaABAg,,@dhygin,girl I'm bored let's brush our hair,0,1762732800
top,Ugxiv9jiGoC_klpjJmB4AaABAg,,@Disectionsection,god the chat is so annoying,2,1762732800
top,UgwoyQU67pXzaOeX7bl4AaABAg,,@richyholly,Y'all haters are so weird. Letting her get bag is a bad thing? People flipped this in a way she benefits them complain about the attention in detail,1,1762732800
top,UgxL7Io57c56SFpFM4F4AaABAg,,@ccastyman22305,"Sweeney is pretty, like probably one of the most attractive white women out there, but she’s probably a racist and conservative and therefore I have ZERO respect for her.",0,1762732800
top,Ugwdce2RI_hmPTqL3YJ4AaABAg,,@ccastyman22305,10:52 that’s completely different. Sweeney is selfish. Goodall wasn’t.,4,1762732800
top,Ugwl5FiZX-gIkMSjCrp4AaABAg,,@MaySpitfire,She sounds so LA,0,1762732800
top,UgwDPaxelMkBPMzXTVh4AaABAg,,@BeefynGreen,"Stupid misogynistic take, Hasan.",1,1762732800
top,UgweK-akvtimc0oA-f94AaABAg,,@DementedEscape,"She sounds like a typical, privileged, airhead from Santa Monica, with all disrespect from the Bay 💜😘.",0,1762732800
top,UgwmDhQuxykCRlbuOM14AaABAg,,@georgiatrapp2576,"The way she acts so dumb when talking about the ad and as soon as she's speaking about her movie, she's so well-spoken and engaged.",0,1762646400
top,UgwxtrnYH4NNgCbsNbh4AaABAg,,@plaguemaiden,"honestly I think she just doesn't give a flying fuck. whether she's dumb or not I can't say, I don't know her, but the vibe I get is ego and apathy.",0,1762646400
top,UgxOBJjIVf2iCrzP2kJ4AaABAg,,@arda..,Sydney Sweeneys way of talking and pronouncing words and sentences sounds like a tourist talking to a native speaker waiting for a reaction to see if what they said makes sense,2,1762646400
top,UgzTRno8MawPcw7qmfR4AaABAg,,@eli-ld,"she literally said ""as time goes on people will see that i‘m a lot more aware than people think"" so she basically admitted that she‘s aware of the underlying tones of ad",80,1762646400
