dataset,conversation_id,n_utterances_historical,n_utterances_rebuilt,n_utterances_difference,expert_n_utterances_historical,expert_n_utterances_rebuilt,expert_n_utterances_difference,partner_n_utterances_historical,partner_n_utterances_rebuilt,partner_n_utterances_difference,speaker_centroid_cosine_distance_historical,speaker_centroid_cosine_distance_rebuilt,speaker_centroid_cosine_distance_difference,radial_distance_median_historical,radial_distance_median_rebuilt,radial_distance_median_difference,radial_distance_q90_historical,radial_distance_q90_rebuilt,radial_distance_q90_difference,participation_ratio_historical,participation_ratio_rebuilt,participation_ratio_difference
wired,wired_neuro_14,20,20,0,10,10,0,5,5,0,0.281254768371582,0.2812545895576477,-1.7881393427066072e-07,0.445311230226778,0.4453111694363809,-6.07903971050483e-08,0.6775232001762486,0.6775231777167282,-2.2459520354622953e-08,11.24837726823426,11.24837705089077,-2.1734348898405642e-07
wired,wired_nuclear_14,117,117,0,64,64,0,13,13,0,0.2646216154098511,0.2646217346191406,1.1920928955078125e-07,0.5563774546115683,0.5563773966094567,-5.8002111558153047e-08,0.7020940333069102,0.702094074043804,4.073689374717304e-08,31.426399747777634,31.42640005919695,3.114193170006274e-07
wired,wired_sensing_14,63,63,0,35,35,0,15,15,0,0.1619810461997985,0.1619809865951538,-5.96046446921239e-08,0.5429646955843752,0.5429647286310884,3.30467131437473e-08,0.718842191552608,0.7188421594957772,-3.205683074547494e-08,19.52567084271609,19.525670507744906,-3.349711832356661e-07
wired,wired_sleep_14,49,49,0,29,29,0,9,9,0,0.2689617872238159,0.2689616084098816,-1.7881393432617188e-07,0.5382164849452489,0.5382164496526315,-3.529261738410838e-08,0.714004387077958,0.7140044493458324,6.226787441221404e-08,19.950028834653732,19.950029178647007,3.439932747539842e-07
wired,wired_time_14,61,61,0,47,47,0,11,11,0,0.2127253413200378,0.2127254009246826,5.96046448031462e-08,0.5653451596579872,0.5653451698777133,1.02197261764303e-08,0.7046925840881798,0.7046926086629416,2.457476178108209e-08,28.907910162792724,28.907911015494644,8.527019197401842e-07
wired,wired_zero_14,115,115,0,65,65,0,12,12,0,0.3503763675689697,0.3503763675689697,0.0,0.5951739333707522,0.5951738474728064,-8.589794575630805e-08,0.7157047751097917,0.7157047493375654,-2.5772226242004592e-08,26.36472821244675,26.364727130742512,-1.0817042372934793e-06
wired,wired_Talia_15,43,43,0,27,27,0,8,8,0,0.2335363626480102,0.2335362434387207,-1.192092894952701e-07,0.5438459294908512,0.543845941803974,1.231312285465691e-08,0.7579226643991109,0.7579226579125431,-6.486567838415169e-09,17.342065188127915,17.342065674378937,4.862510216696592e-07
wired,wired_astro_15,67,67,0,34,34,0,22,22,0,0.1078912615776062,0.1078911423683166,-1.192092896062924e-07,0.5216588592669825,0.5216588461315442,-1.313543829262187e-08,0.7626877976966824,0.7626877917927166,-5.90396576072294e-09,27.28744933188747,27.287449957596916,6.257094469219737e-07
wired,wired_blockchain_15,36,36,0,16,16,0,14,14,0,0.2336809635162353,0.2336809635162353,0.0,0.5131952977346804,0.5131953281792033,3.044452290268396e-08,0.6741328297403137,0.6741328235066797,-6.2336340533875045e-09,19.51800959480231,19.518008833205595,-7.615967163587811e-07
wired,wired_crispr_15,41,41,0,15,16,1,22,22,0,0.1760258674621582,0.1598553657531738,-0.016170501708984403,0.5773618801627844,0.5811623457628015,0.003800465600017011,0.6729202841820127,0.664361510550908,-0.008558773631104688,20.950464394527327,20.89128822502323,-0.0591761695040951
