dataset,conversation_id,video_id,level,level_label,n_utterances,speaker_centroid_cosine_distance,radial_distance_median,radial_distance_q90,participation_ratio,video_group,expertise_c,log_n_c
wired,wired_machine_13,machine,1,teenager,65,0.2355725765228271,0.6115859372776414,0.7042408130278999,26.35625322077006,wired::machine,-1.0,0.1728792772533776
wired,wired_machine_14,machine,2,undergraduate,57,0.1370529532432556,0.514849501688824,0.7520855594531334,28.520629689203993,wired::machine,0.0,0.04154327519229106
wired,wired_machine_15,machine,3,graduate,28,0.235820472240448,0.5128136058400989,0.6225487522702662,18.65332733271591,wired::machine,1.0,-0.6693034824670554
wired,wired_machine_16,machine,4,expert,62,0.1550493240356445,0.5788918528634072,0.7289061176639541,31.484457201465947,wired::machine,2.0,0.12562639240283247
wired,wired_memory_12,memory,0,child,41,0.2115561366081237,0.4855437104667333,0.6950241137502577,18.85136457821156,wired::memory,-2.0,-0.28793592593795125
wired,wired_memory_13,memory,1,teenager,34,0.4548085927963257,0.5485194056644482,0.6694245047074389,18.36963588370348,wired::memory,-1.0,-0.47514746802609764
wired,wired_memory_14,memory,2,undergraduate,49,0.136349081993103,0.3901705065138577,0.7433093587234849,23.125437092697176,wired::memory,0.0,-0.10968769453163274
wired,wired_memory_15,memory,3,graduate,43,0.2408524751663208,0.4933104622923279,0.679481161219463,23.888650810207068,wired::memory,1.0,-0.24030787694869682
wired,wired_memory_16,memory,4,expert,81,0.148141324520111,0.5116633334583147,0.6970273255725559,32.888450495432934,wired::memory,2.0,0.3929411620301799
wired,wired_moravec_12,moravec,0,child,50,0.3603177666664123,0.5178453381136363,0.7015944301226934,17.27482473020246,wired::moravec,-2.0,-0.08948498721411324
wired,wired_moravec_13,moravec,1,teenager,58,0.2066357731819152,0.5343728804951416,0.7408564526637437,20.524108829374143,wired::moravec,-1.0,0.05893501790415989
wired,wired_moravec_14,moravec,2,undergraduate,49,0.1432708501815796,0.4759978747663593,0.7047059828137725,20.46982158995696,wired::moravec,0.0,-0.10968769453163274
wired,wired_moravec_15,moravec,3,graduate,37,0.2043339610099792,0.4662943478274383,0.7309916395724924,19.178603070431148,wired::moravec,1.0,-0.39059007999803486
wired,wired_moravec_16,moravec,4,expert,53,0.1983873844146728,0.5434737476601098,0.7404986464504828,29.486749589749007,wired::moravec,2.0,-0.03121607909013724
wired,wired_nano_12,nano,0,child,58,0.2966853976249695,0.5355851966376529,0.709439579944782,23.655212410877173,wired::nano,-2.0,0.05893501790415989
wired,wired_nano_13,nano,1,teenager,61,0.3680438995361328,0.5784657382852059,0.745864192656683,24.656428563326905,wired::nano,-1.0,0.10936587153105215
wired,wired_nano_14,nano,2,undergraduate,86,0.1298111677169799,0.5562359154954404,0.7723858344567736,29.744735834190305,wired::nano,0.0,0.45283930361124813
wired,wired_nano_15,nano,3,graduate,34,0.1828880310058593,0.3942784264184205,0.7238636766186675,16.581337254585,wired::nano,1.0,-0.47514746802609764
wired,wired_nano_16,nano,4,expert,83,0.235479474067688,0.5374284447848894,0.6795334812388598,31.81398541986137,wired::nano,2.0,0.41733261515433906
wired,wired_neuro_12,neuro,0,child,12,0.5125313997268677,0.4042639410309032,0.6943641086697832,8.541462650684986,wired::neuro,-2.0,-1.5166013428542588
wired,wired_neuro_13,neuro,1,teenager,13,0.6654609441757202,0.4118834185654819,0.6847662238249791,9.625181104942955,wired::neuro,-1.0,-1.4365586351807225
wired,wired_neuro_14,neuro,2,undergraduate,20,0.281254768371582,0.445311230226778,0.6775232001762486,11.24837726823426,wired::neuro,0.0,-1.0057757190882683
wired,wired_neuro_15,neuro,3,graduate,16,0.3591267466545105,0.4536413827381287,0.6475959145037065,10.295341488735929,wired::neuro,1.0,-1.228919270402478
wired,wired_neuro_16,neuro,4,expert,23,0.2611846327781677,0.4888337168379455,0.6538956938493614,15.861522472304308,wired::neuro,2.0,-0.8660137767131095
wired,wired_nuclear_12,nuclear,0,child,73,0.2516592144966125,0.548040872808616,0.7039572856523715,25.739504606772876,wired::nuclear,-2.0,0.28895144850613175
wired,wired_nuclear_13,nuclear,1,teenager,58,0.3262955546379089,0.5692059348397498,0.7283336638012945,22.881582275601343,wired::nuclear,-1.0,0.05893501790415989
wired,wired_nuclear_14,nuclear,2,undergraduate,117,0.2646216154098511,0.5563774546115683,0.7020940333069102,31.426399747777634,wired::nuclear,0.0,0.7606659421554971
wired,wired_nuclear_15,nuclear,3,graduate,97,0.2531865239143371,0.57593570019593,0.725984370155539,33.59835467379431,wired::nuclear,1.0,0.5732029858611236
wired,wired_nuclear_16,nuclear,4,expert,44,0.1485963463783264,0.5166547596174578,0.7082884004807196,21.622795528646172,wired::nuclear,2.0,-0.21731835872399818
wired,wired_sensing_12,sensing,0,child,52,0.2129703760147094,0.5459451841875778,0.6864671779069327,20.07213935623229,wired::sensing,-2.0,-0.05026427406083167
