dataset,conversation_id,video_id,level,level_label,n_utterances,speaker_centroid_cosine_distance,radial_distance_median,radial_distance_q90,participation_ratio,video_group,expertise_c,log_n_c
wired,wired_gravity_16,gravity,4,expert,151,0.0755630135536193,0.5260863587716487,0.743362870023152,41.72397873024885,wired::gravity,2.0,1.0160888980767666
wired,wired_hacking_12,hacking,0,child,40,0.2658805251121521,0.4934790333664023,0.7187365441287021,18.38271535213288,wired::hacking,-2.0,-0.3123114846242214
wired,wired_hacking_13,hacking,1,teenager,37,0.2369674444198608,0.4346106004636538,0.6676468075911203,18.03354013525706,wired::hacking,-1.0,-0.39027302609393333
wired,wired_hacking_14,hacking,2,undergraduate,56,0.2019422650337219,0.542442567445824,0.6582015517006741,23.987191478054537,wired::hacking,0.0,0.02416075199699197
wired,wired_hacking_15,hacking,3,graduate,66,0.2480778098106384,0.6110005595169041,0.7651596214047998,32.6280698996078,wired::hacking,1.0,0.1884638032882675
wired,wired_hacking_16,hacking,4,expert,94,0.1599760055541992,0.601672297583627,0.7256038229086221,40.8439399000252,wired::hacking,2.0,0.5421038435318462
wired,wired_infinity_12,infinity,0,child,43,0.14113450050354,0.5454357130943532,0.6835316768049283,17.99499397245203,wired::infinity,-2.0,-0.2399908230445953
wired,wired_infinity_13,infinity,1,teenager,53,0.2317103743553161,0.4773618260397664,0.698219432372966,16.359265315426114,wired::infinity,-1.0,-0.03089902518603571
wired,wired_infinity_14,infinity,2,undergraduate,92,0.1623880863189697,0.5515361597312942,0.7230016635346725,26.73607031910942,wired::infinity,0.0,0.5205976383108828
wired,wired_infinity_15,infinity,3,graduate,68,0.2204226851463318,0.5278014382295002,0.7142383706188286,26.434129515259745,wired::infinity,1.0,0.21831676643794928
wired,wired_infinity_16,infinity,4,expert,46,0.1512147188186645,0.4380837591676071,0.6808119546956546,21.94908562371677,wired::infinity,2.0,-0.1725495422490626
wired,wired_internet_12,internet,0,child,61,0.3510351181030273,0.5706074639571085,0.7407704639553873,23.15389523717231,wired::internet,-2.0,0.10968292543515368
wired,wired_internet_13,internet,1,teenager,53,0.3171444535255432,0.5544899350936154,0.7382413418982174,25.47431923924219,wired::internet,-1.0,-0.03089902518603571
wired,wired_internet_14,internet,2,undergraduate,63,0.1892865300178527,0.6091495248805117,0.7327274134224616,30.30336404703498,wired::internet,0.0,0.1419437876533749
wired,wired_internet_15,internet,3,graduate,37,0.2303799390792846,0.574149035672515,0.7844521590526583,21.119109254553617,wired::internet,1.0,-0.39027302609393333
wired,wired_internet_16,internet,4,expert,72,0.1267862915992736,0.5250309907016935,0.7809063499353407,30.58341751303917,wired::internet,2.0,0.27547518027789764
wired,wired_laser_12,laser,0,child,73,0.2581362128257751,0.530303278903345,0.714270436509998,19.01224293952008,wired::laser,-2.0,0.2892685024102333
wired,wired_laser_13,laser,1,teenager,76,0.1910094618797302,0.5181648069822316,0.7303459522832266,26.17825486653354,wired::laser,-1.0,0.3295424015481734
wired,wired_laser_14,laser,2,undergraduate,64,0.3609764575958252,0.5674369445937426,0.7398535846909486,24.920168799283363,wired::laser,0.0,0.15769214462151382
wired,wired_laser_15,laser,3,graduate,53,0.2122482657432556,0.6021532835648693,0.764847071358088,23.7728345065287,wired::laser,1.0,-0.03089902518603571
wired,wired_laser_16,laser,4,expert,111,0.2123095989227295,0.5938318344935951,0.7664095254673979,34.18713799427861,wired::laser,2.0,0.7083392625741762
wired,wired_machine_12,machine,0,child,69,0.3481629490852356,0.5632543212676038,0.7063289244657845,21.354122300876337,wired::machine,-2.0,0.232915565859102
wired,wired_machine_13,machine,1,teenager,65,0.2355724573135376,0.6115860198765362,0.7042408204856159,26.35625462030174,wired::machine,-1.0,0.17319633115747912
wired,wired_machine_14,machine,2,undergraduate,57,0.1370528936386108,0.514849563057095,0.752085493825031,28.52063018458935,wired::machine,0.0,0.04186032909639259
wired,wired_machine_15,machine,3,graduate,28,0.2358206510543823,0.5128135630233834,0.6225487410352925,18.653326979973087,wired::machine,1.0,-0.6689864285629539
wired,wired_machine_16,machine,4,expert,62,0.1550493240356445,0.5788918786591991,0.728906133477836,31.484455673930132,wired::machine,2.0,0.125943446306934
wired,wired_memory_12,memory,0,child,41,0.211556077003479,0.4855436546135592,0.6950241751674631,18.8513679325051,wired::memory,-2.0,-0.2876188720338497
wired,wired_memory_13,memory,1,teenager,34,0.4548086524009704,0.5485194402154883,0.6694245080149759,18.36963484194947,wired::memory,-1.0,-0.4748304141219961
wired,wired_memory_14,memory,2,undergraduate,49,0.136349081993103,0.3901704610718176,0.743309268167526,23.12543843745804,wired::memory,0.0,-0.10937064062753121
wired,wired_memory_15,memory,3,graduate,43,0.240852415561676,0.4933103193591446,0.6794810799706132,23.88864805969101,wired::memory,1.0,-0.2399908230445953
wired,wired_memory_16,memory,4,expert,81,0.148141324520111,0.5116633585371708,0.6970274571962299,32.888449347717014,wired::memory,2.0,0.39325821593428145
wired,wired_moravec_12,moravec,0,child,50,0.3603176474571228,0.5178453787364709,0.701594404436879,17.27482280133276,wired::moravec,-2.0,-0.08916793331001172
wired,wired_moravec_13,moravec,1,teenager,58,0.2066357731819152,0.5343728223101198,0.7408564633912217,20.52410707535745,wired::moravec,-1.0,0.05925207180826142
wired,wired_moravec_14,moravec,2,undergraduate,49,0.1432707905769348,0.4759979256363595,0.704705992700951,20.469821000149945,wired::moravec,0.0,-0.10937064062753121
wired,wired_moravec_15,moravec,3,graduate,37,0.2043339610099792,0.4662942592413962,0.7309916675923877,19.17860193612661,wired::moravec,1.0,-0.39027302609393333
wired,wired_moravec_16,moravec,4,expert,53,0.1983873844146728,0.5434737832244119,0.7404986418359593,29.48675129923269,wired::moravec,2.0,-0.03089902518603571
wired,wired_nano_12,nano,0,child,58,0.2966853976249695,0.5355852846274598,0.709439599107068,23.65521152351384,wired::nano,-2.0,0.05925207180826142
wired,wired_nano_13,nano,1,teenager,61,0.3680437803268432,0.5784657601797579,0.745864455501717,24.6564300700328,wired::nano,-1.0,0.10968292543515368
wired,wired_nano_14,nano,2,undergraduate,86,0.1298112273216247,0.5562358963723945,0.7723857588818028,29.744735168180213,wired::nano,0.0,0.45315635751534966
wired,wired_nano_15,nano,3,graduate,34,0.1828880310058593,0.3942783940677998,0.723863733737359,16.581338168115902,wired::nano,1.0,-0.4748304141219961
wired,wired_nano_16,nano,4,expert,83,0.2354793548583984,0.5374284588107352,0.6795335979615355,31.813986506934302,wired::nano,2.0,0.4176496690584406
wired,wired_neuro_12,neuro,0,child,12,0.5125312805175781,0.404263919112434,0.6943640069368793,8.541463262109867,wired::neuro,-2.0,-1.5162842889501573
wired,wired_neuro_13,neuro,1,teenager,13,0.6654608249664307,0.4118834550570356,0.6847663361997408,9.625181558822757,wired::neuro,-1.0,-1.436241581276621
wired,wired_neuro_14,neuro,2,undergraduate,20,0.2812545895576477,0.4453111694363809,0.6775231777167282,11.24837705089077,wired::neuro,0.0,-1.0054586651841668
wired,wired_neuro_15,neuro,3,graduate,16,0.3591267466545105,0.453641282320364,0.6475957786806039,10.295340931215774,wired::neuro,1.0,-1.2286022164983765
wired,wired_neuro_16,neuro,4,expert,23,0.2611846327781677,0.4888337694593518,0.6538956682887093,15.861522491214147,wired::neuro,2.0,-0.865696722809008
wired,wired_nuclear_12,nuclear,0,child,73,0.2516593337059021,0.5480409541459821,0.7039572545285769,25.73950333218144,wired::nuclear,-2.0,0.2892685024102333
wired,wired_nuclear_13,nuclear,1,teenager,58,0.3262956142425537,0.5692059420757356,0.7283335762813635,22.88158241268456,wired::nuclear,-1.0,0.05925207180826142
wired,wired_nuclear_14,nuclear,2,undergraduate,117,0.2646217346191406,0.5563773966094567,0.702094074043804,31.42640005919695,wired::nuclear,0.0,0.7609829960595986
wired,wired_nuclear_15,nuclear,3,graduate,97,0.2531864047050476,0.5759355788475364,0.7259843029742384,33.598355146989086,wired::nuclear,1.0,0.5735200397652251
wired,wired_nuclear_16,nuclear,4,expert,44,0.1485964059829712,0.5166547574643303,0.7082884541840025,21.622794544097832,wired::nuclear,2.0,-0.21700130481989666
wired,wired_sensing_12,sensing,0,child,52,0.212970495223999,0.5459451518900709,0.6864672015687038,20.072139128475634,wired::sensing,-2.0,-0.04994722015673014
wired,wired_sensing_13,sensing,1,teenager,90,0.152731716632843,0.5819668426838509,0.7344349885366446,15.49571914684089,wired::sensing,-1.0,0.49861873159210734
wired,wired_sensing_14,sensing,2,undergraduate,63,0.1619809865951538,0.5429647286310884,0.7188421594957772,19.525670507744906,wired::sensing,0.0,0.1419437876533749
wired,wired_sensing_15,sensing,3,graduate,61,0.1725470423698425,0.5334507720760935,0.6812660237166743,23.80612089834344,wired::sensing,1.0,0.10968292543515368
wired,wired_sensing_16,sensing,4,expert,56,0.2325417399406433,0.5697727354012645,0.6773707746004474,21.181875033289263,wired::sensing,2.0,0.02416075199699197
wired,wired_sleep_12,sleep,0,child,93,0.2720443606376648,0.5890909892293221,0.7011088283057522,29.22493482123666,wired::sleep,-2.0,0.5314085544150986
wired,wired_sleep_13,sleep,1,teenager,80,0.1602044105529785,0.5324565479238492,0.7342307444480274,22.009822937145657,wired::sleep,-1.0,0.38083569593572353
wired,wired_sleep_14,sleep,2,undergraduate,49,0.2689616084098816,0.5382164496526315,0.7140044493458324,19.950029178647007,wired::sleep,0.0,-0.10937064062753121
wired,wired_sleep_15,sleep,3,graduate,45,0.1613253355026245,0.5148558624121516,0.7445374497949232,19.22060989601867,wired::sleep,1.0,-0.19452844896783805
wired,wired_sleep_16,sleep,4,expert,31,0.1515728831291198,0.3076312023002829,0.7880194384710787,13.797188034303376,wired::sleep,2.0,-0.5672037342530114
wired,wired_Talia_12,talia,0,child,27,0.4667110443115234,0.5584413724005212,0.6628235219307836,16.18181159107105,wired::talia,-2.0,-0.7053540727338286
wired,wired_Talia_13,talia,1,teenager,60,0.4639721512794494,0.5597553736965923,0.7317564552677424,23.02903424196028,wired::talia,-1.0,0.09315362348394274
wired,wired_Talia_14,talia,2,undergraduate,44,0.2397228479385376,0.5037093877745622,0.7970037844940572,18.618396080264947,wired::talia,0.0,-0.21700130481989666
wired,wired_Talia_15,talia,3,graduate,43,0.2335362434387207,0.543845941803974,0.7579226579125431,17.342065674378937,wired::talia,1.0,-0.2399908230445953
wired,wired_Talia_16,talia,4,expert,44,0.101307988166809,0.4702720191672342,0.6817283307286899,21.715176363018504,wired::talia,2.0,-0.21700130481989666
wired,wired_time_12,time,0,child,80,0.250438928604126,0.5573424386785546,0.6878868898372986,30.794845085891055,wired::time,-2.0,0.38083569593572353
wired,wired_time_13,time,1,teenager,71,0.3716516494750976,0.5839787043519975,0.7014203354272844,24.865412342052274,wired::time,-1.0,0.2614889383031578
wired,wired_time_14,time,2,undergraduate,61,0.2127254009246826,0.5653451698777133,0.7046926086629416,28.907911015494644,wired::time,0.0,0.10968292543515368
wired,wired_time_15,time,3,graduate,103,0.1218984127044677,0.546666732030854,0.7104722012397297,31.792827909948848,wired::time,1.0,0.6335380494914782
wired,wired_time_16,time,4,expert,63,0.1077458262443542,0.5141040124408561,0.7383155593600502,31.911495241328353,wired::time,2.0,0.1419437876533749
wired,wired_zero_12,zero,0,child,57,0.3584382534027099,0.5682880402928787,0.6891538023835478,20.239561344519203,wired::zero,-2.0,0.04186032909639259
wired,wired_zero_13,zero,1,teenager,53,0.2679784893989563,0.5230815997952566,0.6641710870620078,19.74608369702661,wired::zero,-1.0,-0.03089902518603571
wired,wired_zero_14,zero,2,undergraduate,115,0.3503763675689697,0.5951738474728064,0.7157047493375654,26.364727130742512,wired::zero,0.0,0.7437411896250925
wired,wired_zero_15,zero,3,graduate,70,0.120491087436676,0.5633710299265002,0.6967367961214278,19.819855307678612,wired::zero,1.0,0.24730430331120168
wired,wired_zero_16,zero,4,expert,107,0.2049283981323242,0.5623035468599248,0.6946668305769895,24.32180453437134,wired::zero,2.0,0.6716378957237481
