video_uid,conversation_uid,conversation_id,level_label,stage,trajectory_type,n_turns,lag,lag_distance_observed,lag_distance_null_mean,lag_distance_null_sd,lag_distance_z
dimension,dimension::wired_dimension_14,wired_dimension_14,undergraduate,Middle,joint,15,2,0.8376061625604752,0.9086131068714501,0.037948787756967646,-1.8711254959109371
dimension,dimension::wired_dimension_14,wired_dimension_14,undergraduate,Middle,joint,15,3,1.068079299852232,1.072723301149104,0.013035331048889496,-0.35626262804178394
dimension,dimension::wired_dimension_14,wired_dimension_14,undergraduate,Middle,partner,8,1,0.8914206358806462,1.0016636255980278,0.06424393410764921,-1.7160062074133697
dimension,dimension::wired_dimension_14,wired_dimension_14,undergraduate,Middle,partner,8,2,0.9588760701709216,0.9965220631246363,0.07471876656439877,-0.5038358458616728
dimension,dimension::wired_dimension_14,wired_dimension_14,undergraduate,Middle,partner,8,3,1.0467508093429605,0.9954229935544952,0.08563735074520673,0.5993624901029327
dimension,dimension::wired_dimension_15,wired_dimension_15,graduate,Beginning,joint,12,1,1.004501322895658,0.9928571516640088,0.022045556705227586,0.5281867628631102
dimension,dimension::wired_dimension_15,wired_dimension_15,graduate,Beginning,joint,12,2,0.9931652427023854,1.0066498238232346,0.029677294337700312,-0.4543736692235869
dimension,dimension::wired_dimension_15,wired_dimension_15,graduate,Beginning,joint,12,3,1.0136106560676224,0.9940412719227679,0.026908164392594826,0.727265667748037
dimension,dimension::wired_dimension_15,wired_dimension_15,graduate,End,joint,12,1,0.9648179569873635,1.0003372019624255,0.029446035510275522,-1.2062487991861297
dimension,dimension::wired_dimension_15,wired_dimension_15,graduate,End,joint,12,2,0.9626875385769701,1.0020494874318158,0.03738591743821127,-1.0528549665766593
dimension,dimension::wired_dimension_15,wired_dimension_15,graduate,End,joint,12,3,1.0096266767953654,0.9990447042963071,0.036028783655111044,0.2937088468030251
dimension,dimension::wired_dimension_15,wired_dimension_15,graduate,Middle,joint,12,1,0.9843424605162544,1.0163659489937604,0.020867855551255962,-1.5345845383513135
dimension,dimension::wired_dimension_15,wired_dimension_15,graduate,Middle,joint,12,2,0.9723240287621099,0.9788972424465792,0.02515441520134355,-0.2613145100713052
