dataset,conversation_id,expert_n_utterances,partner_n_utterances,speaker_centroid_cosine_distance,speaker_centroid_euclidean_distance
wired,wired_internet_12,38,6,0.35103511810302734,0.46476805210113525
wired,wired_internet_13,42,6,0.31714439392089844,0.43924951553344727
wired,wired_internet_14,43,15,0.1782437562942505,0.25537368655204773
wired,wired_internet_15,14,18,0.23037993907928467,0.3267967402935028
wired,wired_internet_16,26,39,0.12678629159927368,0.2370622307062149
wired,wired_laser_12,41,5,0.2581362724304199,0.3841280937194824
wired,wired_laser_13,49,16,0.19100940227508545,0.31787022948265076
wired,wired_laser_14,46,10,0.3609763979911804,0.42202261090278625
wired,wired_laser_15,28,14,0.2122483253479004,0.2993009090423584
wired,wired_laser_16,33,58,0.2123095989227295,0.29754891991615295
wired,wired_machine_12,34,8,0.34816306829452515,0.418845534324646
wired,wired_machine_13,27,21,0.23557257652282715,0.32512834668159485
wired,wired_machine_14,30,21,0.13705295324325562,0.256242960691452
wired,wired_machine_15,10,17,0.235820472240448,0.36179742217063904
wired,wired_machine_16,25,32,0.15504932403564453,0.2553704082965851
wired,wired_memory_12,23,14,0.21155613660812378,0.3694157898426056
wired,wired_memory_13,26,7,0.4548085927963257,0.5152134895324707
wired,wired_memory_14,37,11,0.13634908199310303,0.302462637424469
wired,wired_memory_15,25,14,0.2408524751663208,0.3768843412399292
wired,wired_memory_16,34,40,0.14814132452011108,0.28131207823753357
wired,wired_moravec_12,31,5,0.36031776666641235,0.4776670038700104
wired,wired_moravec_13,37,6,0.20663577318191528,0.41652712225914
wired,wired_moravec_14,29,14,0.1432708501815796,0.2989683747291565
wired,wired_moravec_15,15,17,0.20433396100997925,0.35267937183380127
wired,wired_moravec_16,17,30,0.19838738441467285,0.32137465476989746
wired,wired_nano_12,39,5,0.2966853976249695,0.40448862314224243
wired,wired_nano_13,39,7,0.3680438995361328,0.4643382430076599
wired,wired_nano_14,45,25,0.12981116771697998,0.24817615747451782
wired,wired_nano_15,18,16,0.18288803100585938,0.3830356001853943
wired,wired_nano_16,20,57,0.235479474067688,0.36464056372642517
wired,wired_neuro_12,8,3,0.5125313997268677,0.639397144317627
wired,wired_neuro_13,6,3,0.6654609441757202,0.7940200567245483
wired,wired_neuro_14,10,5,0.28125476837158203,0.4507535398006439
wired,wired_neuro_15,6,9,0.3591267466545105,0.501636803150177
wired,wired_neuro_16,14,9,0.2611846327781677,0.3837154507637024
wired,wired_nuclear_12,42,12,0.25165921449661255,0.34386885166168213
wired,wired_nuclear_13,45,4,0.32629555463790894,0.44377046823501587
wired,wired_nuclear_14,64,13,0.2646216154098511,0.36442509293556213
wired,wired_nuclear_15,56,16,0.25318652391433716,0.3401119112968445
wired,wired_nuclear_16,16,26,0.14859634637832642,0.2719869315624237
wired,wired_sensing_12,27,8,0.21297037601470947,0.3387795686721802
wired,wired_sensing_13,45,15,0.15273165702819824,0.25334638357162476
wired,wired_sensing_14,35,15,0.16198104619979858,0.2958483397960663
wired,wired_sensing_15,35,15,0.17254704236984253,0.3310437500476837
