video_uid,conversation_uid,conversation_id,level_label,trajectory_type,n_turns,lag,lag_distance_observed,lag_distance_null_mean,lag_distance_null_sd,lag_distance_z
laser,laser::wired_laser_12,wired_laser_12,child,expert,18,2,0.9852124481953486,0.9995327536680868,0.020868100765270365,-0.6862294577650647
laser,laser::wired_laser_12,wired_laser_12,child,expert,18,3,0.9916190104290844,0.9993556397481169,0.02215273119870004,-0.34924042772145925
laser,laser::wired_laser_12,wired_laser_12,child,expert,18,4,0.9857582351032851,1.001153314677913,0.02366807778330607,-0.6504575367538562
laser,laser::wired_laser_12,wired_laser_12,child,expert,18,5,1.0144425530883647,1.000923284442974,0.025646569858865483,0.5271374971307257
laser,laser::wired_laser_12,wired_laser_12,child,expert,18,6,1.031971660298419,1.0008033989218976,0.026995336730140335,1.1545794626714914
laser,laser::wired_laser_12,wired_laser_12,child,partner,17,1,0.8526422410882251,0.9997805283228755,0.08005902917872736,-1.8378724891376375
laser,laser::wired_laser_12,wired_laser_12,child,partner,17,2,1.0699314271818552,0.9978587006962004,0.08193003619511517,0.8796862522312896
laser,laser::wired_laser_12,wired_laser_12,child,partner,17,3,1.0047895498241677,0.997820108835326,0.09045902585158652,0.07704528015011157
laser,laser::wired_laser_12,wired_laser_12,child,partner,17,4,0.9615881159502312,1.0103662837206753,0.09730277911592307,-0.5013029248869809
laser,laser::wired_laser_12,wired_laser_12,child,partner,17,5,1.0847002247941049,0.9914668535085025,0.1027399112853251,0.9074698441842962
laser,laser::wired_laser_12,wired_laser_12,child,partner,17,6,1.1688895708145441,0.9923629567099422,0.10667466218678619,1.6548129657585013
laser,laser::wired_laser_13,wired_laser_13,teenager,joint,26,1,0.9174336997195959,1.0023116490851358,0.017614706606570725,-4.818584337582912
laser,laser::wired_laser_13,wired_laser_13,teenager,joint,26,2,0.9545642299974794,0.9952112922179301,0.018694341968035134,-2.174297565003995
laser,laser::wired_laser_13,wired_laser_13,teenager,joint,26,3,0.9971154140788691,1.0046115351529337,0.019593055489700202,-0.38259071322516375
laser,laser::wired_laser_13,wired_laser_13,teenager,joint,26,4,0.9693054661693845,0.9954509894941739,0.020462127564103642,-1.277751946510978
laser,laser::wired_laser_13,wired_laser_13,teenager,joint,26,5,1.0112676408121155,1.0034762720276655,0.021106861709407232,0.36913914023406863
laser,laser::wired_laser_13,wired_laser_13,teenager,joint,26,6,0.99444293456881,0.9950188491476215,0.02171504712588364,-0.02652145194402927
laser,laser::wired_laser_13,wired_laser_13,teenager,expert,13,1,0.9166009239753939,0.9989133511358895,0.033080824121263244,-2.4882217824672606
laser,laser::wired_laser_13,wired_laser_13,teenager,expert,13,2,0.9611675205031187,0.9985735353750794,0.03368980046149224,-1.1103068097632738
laser,laser::wired_laser_13,wired_laser_13,teenager,expert,13,3,1.0028754439140608,0.9989958888913829,0.03759139529945079,0.10320327276424811
laser,laser::wired_laser_13,wired_laser_13,teenager,expert,13,4,1.003977548463331,0.997757976863364,0.03963249438461428,0.15693111666424933
laser,laser::wired_laser_13,wired_laser_13,teenager,expert,13,5,1.0434860759778624,1.0012102764085438,0.04123895739435652,1.025142298459368
laser,laser::wired_laser_13,wired_laser_13,teenager,expert,13,6,1.0846359942916797,0.9986981918879047,0.042865295178613844,2.00483402821989
laser,laser::wired_laser_13,wired_laser_13,teenager,partner,13,1,0.9937698812403205,0.9983106169677047,0.02278052955504362,-0.19932529296180937
laser,laser::wired_laser_13,wired_laser_13,teenager,partner,13,2,0.9835676929933016,0.9985724465780479,0.02401229150271091,-0.6248780372773795
laser,laser::wired_laser_13,wired_laser_13,teenager,partner,13,3,0.994976854647679,1.0006731424903665,0.024719725598057785,-0.23043491401599747
laser,laser::wired_laser_13,wired_laser_13,teenager,partner,13,4,1.0240898670906073,0.9981144011958594,0.02833403391250012,0.9167584811595917
laser,laser::wired_laser_13,wired_laser_13,teenager,partner,13,5,0.9690124143813392,1.0017897439938435,0.027818706100477746,-1.1782478126091325
laser,laser::wired_laser_13,wired_laser_13,teenager,partner,13,6,0.9982456259788788,0.9989738200290453,0.03026715296156074,-0.02405888823079458
laser,laser::wired_laser_14,wired_laser_14,undergraduate,joint,14,1,0.9326283541933214,1.0022932422592907,0.02767568946548503,-2.517187084095954
laser,laser::wired_laser_14,wired_laser_14,undergraduate,joint,14,2,0.9337656854075301,0.9983238324703905,0.02845714013390964,-2.268609802639043
laser,laser::wired_laser_14,wired_laser_14,undergraduate,joint,14,3,0.9745157961427763,1.0030527690146245,0.03022326865985588,-0.9442053800670638
laser,laser::wired_laser_14,wired_laser_14,undergraduate,joint,14,4,0.9722914514885287,0.996940266986687,0.032392108098678464,-0.7609512608154072
laser,laser::wired_laser_14,wired_laser_14,undergraduate,joint,14,5,1.0365754754628842,1.001991907375946,0.03617063590711506,0.9561227559213388
laser,laser::wired_laser_14,wired_laser_14,undergraduate,joint,14,6,1.0219683491454046,0.9971415169328398,0.03587595596486153,0.6920186945507805
laser,laser::wired_laser_15,wired_laser_15,graduate,joint,24,1,0.8933230574943227,0.9950062609336624,0.017819837042932583,-5.7061803199635674
laser,laser::wired_laser_15,wired_laser_15,graduate,joint,24,2,0.9523128449968674,1.0057196154202976,0.018489513215977457,-2.888489804981967
laser,laser::wired_laser_15,wired_laser_15,graduate,joint,24,3,0.9883561292788555,0.9954560871805754,0.01866076744981154,-0.3804751289471546
laser,laser::wired_laser_15,wired_laser_15,graduate,joint,24,4,1.008910139164781,1.0053567342002623,0.018782979312014805,0.1891821795409069
laser,laser::wired_laser_15,wired_laser_15,graduate,joint,24,5,0.9969561506053556,0.9952564594349256,0.020624894234421532,0.08240969146854285
laser,laser::wired_laser_15,wired_laser_15,graduate,joint,24,6,1.0146189807864154,1.003819546107781,0.020151021321964602,0.5359249293663862
laser,laser::wired_laser_15,wired_laser_15,graduate,expert,12,1,0.9181480771870559,0.9988820425315912,0.027990656119650206,-2.884318431101649
laser,laser::wired_laser_15,wired_laser_15,graduate,expert,12,2,1.0053248237974832,1.0007748208060094,0.029689936262104817,0.15325068236273892
laser,laser::wired_laser_15,wired_laser_15,graduate,expert,12,3,1.0170637841197665,1.0006791901798868,0.03161982136874842,0.5181747786871894
laser,laser::wired_laser_15,wired_laser_15,graduate,expert,12,4,1.0186117607255178,0.9990590826770357,0.033787728352831316,0.5786917026294753
laser,laser::wired_laser_15,wired_laser_15,graduate,expert,12,5,1.036228234913583,0.9986104829784765,0.03770536031133615,0.9976765007546314
laser,laser::wired_laser_15,wired_laser_15,graduate,expert,12,6,1.0050764057145658,1.0012453325900361,0.03783536108826181,0.10125641765629269
laser,laser::wired_laser_15,wired_laser_15,graduate,partner,12,1,0.9748461087719669,0.9985974703996856,0.02470918378413625,-0.9612361879378446
laser,laser::wired_laser_15,wired_laser_15,graduate,partner,12,2,1.0020520466916862,0.9984490187210433,0.0253887420154047,0.1419143953039023
laser,laser::wired_laser_15,wired_laser_15,graduate,partner,12,3,1.0020203730740571,1.0005602731846572,0.026582865052675753,0.05492635524826208
laser,laser::wired_laser_15,wired_laser_15,graduate,partner,12,4,1.0170666933665888,1.0010727373451775,0.027789056335774172,0.5755487278213731
laser,laser::wired_laser_15,wired_laser_15,graduate,partner,12,5,1.0184603708176971,1.0012849242850463,0.03028862488111191,0.5670593036186817
laser,laser::wired_laser_15,wired_laser_15,graduate,partner,12,6,0.9704921326118706,1.0021533235628592,0.03120061441841044,-1.014761777649687
laser,laser::wired_laser_16,wired_laser_16,expert,joint,42,1,0.9475234063965485,1.0022308792106243,0.015381645398397712,-3.5566723453249383
laser,laser::wired_laser_16,wired_laser_16,expert,joint,42,2,0.9363755368436659,0.9968581784462546,0.015681397429297493,-3.856967586931326
laser,laser::wired_laser_16,wired_laser_16,expert,joint,42,3,0.9803582901498292,1.004865747060263,0.015604363131197792,-1.5705515633275757
laser,laser::wired_laser_16,wired_laser_16,expert,joint,42,4,0.9823376576386819,0.9957426433405548,0.01737684004648396,-0.7714282726901982
laser,laser::wired_laser_16,wired_laser_16,expert,joint,42,5,0.9848621778222622,1.0029097788947396,0.016110898173628704,-1.1202107342481316
laser,laser::wired_laser_16,wired_laser_16,expert,joint,42,6,1.0025222506767717,0.9968546521388812,0.01664828100551908,0.3404314557167543
laser,laser::wired_laser_16,wired_laser_16,expert,expert,21,1,0.9616978470595158,0.9993149459391236,0.015828208293497514,-2.3765860406993484
laser,laser::wired_laser_16,wired_laser_16,expert,expert,21,2,0.9997939694662836,1.0003142232171178,0.016150963045572727,-0.03221193370118011
