video_uid,conversation_uid,conversation_id,level_label,trajectory_type,horizon,stage,path_length,direct_displacement,route_efficiency,excess_path_fraction,directional_persistence,turning_cost,backward_movement,backtracking_fraction,monotonic_progress_fraction,future_alignment,pairwise_coverage,centroid_dispersion,resultant_length,coverage_per_path,mean_step_distance,step_distance_sd,step_distance_cv,normalized_acceleration,n_local_windows
astro,astro::wired_astro_12,wired_astro_12,child,joint,5,End,5.334685733998816,1.124046792482573,0.21045028136354343,0.7895497186364566,-0.4119952660219492,0.7059976330109745,0.3836970587217289,0.07217862388220596,0.6,0.525070164205927,1.1020639177007316,0.7107464855191805,0.6945440831347299,0.20664523683661837,1.0669371467997633,0.08932189782787066,0.08349892381696239,1.6712103053229321,5
astro,astro::wired_astro_12,wired_astro_12,child,joint,5,Middle,5.213301014703049,1.159765248495473,0.22249926666050923,0.7775007333394908,-0.41275554999834835,0.7063777749991742,0.2456612778177386,0.04685525399392294,0.625,0.512811826734427,1.1116334993997872,0.717553736753991,0.689282336834476,0.21318955623475244,1.0426602029406098,0.11638160484910068,0.11146661072127508,1.6843552662685715,8
astro,astro::wired_astro_12,wired_astro_12,child,partner,3,Beginning,3.9679030037135736,1.3313155958340444,0.3357702455447808,0.6642297544552193,-0.5092108321861809,0.7546054160930904,0.12090516027089333,0.03031236140414793,0.5555555555555555,0.4875626924492124,1.319583210396853,0.8081865513185154,0.5867474435670634,0.33271645636094793,1.3226343345711913,0.0350782281438126,0.026847053400895993,1.7405367522955937,3
astro,astro::wired_astro_12,wired_astro_12,child,partner,3,End,3.8237273694048572,1.1458726172730846,0.30001792722993725,0.6999820727700627,-0.5262304221078348,0.7631152110539174,0.3041533466476704,0.07868718902528503,0.6666666666666666,0.4991819544521605,1.236979636105027,0.7598508723518801,0.6429487944995812,0.3238669156159509,1.2745757898016192,0.19060397335566495,0.15125603889798797,1.7483587530065678,3
astro,astro::wired_astro_12,wired_astro_12,child,partner,3,Middle,3.7867854263053586,1.3921053596600557,0.36775171661540007,0.6322482833845999,-0.5256319892059235,0.7628159946029617,0.08864889118314527,0.02367602902782266,0.7777777777777777,0.5273170566637585,1.2733229138804039,0.7801407517606828,0.6209331003752306,0.3361721695761668,1.2622618087684527,0.08390094733526049,0.06651059545553312,1.7408956956487203,3
astro,astro::wired_astro_12,wired_astro_12,child,partner,5,Beginning,6.562783182392014,1.339400495278233,0.20408535402448272,0.7959146459755173,-0.4984262723563857,0.7492131361781929,0.15190553536103235,0.023145791431641853,0.6000000000000001,0.520934343915566,1.3252540018219534,0.8557944917253264,0.5153422502896952,0.2019343399249851,1.3125566364784027,0.06554842784410891,0.049940806620442854,1.7438465014365572,2
astro,astro::wired_astro_12,wired_astro_12,child,partner,5,End,6.198194802040737,1.1765039247748876,0.18969741408212665,0.8103025859178734,-0.5375951193193774,0.7687975596596888,0.2696000738709069,0.04347142760519908,0.6,0.5359698671249723,1.2034800506934662,0.7776635469435078,0.6213856384864502,0.19415026190864093,1.2396389604081475,0.1856556931245653,0.1497589996688067,1.790893770990773,2
astro,astro::wired_astro_12,wired_astro_12,child,partner,5,Middle,6.464246521056001,1.2998440445678523,0.20102257597537018,0.7989774240246298,-0.5509764986989487,0.7754882493494742,0.36314056577060594,0.05596269710329888,0.4666666666666666,0.5153389253440479,1.277610159736361,0.8253016068331752,0.5597086043168976,0.1976818438727519,1.2928493042112004,0.08892565676503483,0.06868907418412101,1.7454131718493662,3
astro,astro::wired_astro_13,wired_astro_13,teenager,expert,3,Beginning,2.800502513128788,1.3463498086215075,0.48075293712817757,0.5192470628718224,-0.18562652361740994,0.592813261808705,0.0,0.0,1.0,0.5963978635017206,1.090905212564975,0.6705382658375902,0.7368107154363929,0.3895390943056822,0.933500837709596,0.05669346958297042,0.060732103596255436,1.554528137835094,1
astro,astro::wired_astro_13,wired_astro_13,teenager,expert,3,End,3.324693353938746,1.2532510540340032,0.37695237443455754,0.6230476255654425,-0.4647329197241573,0.7323664598620787,0.04408597941732961,0.013260164088547051,0.6666666666666666,0.434979572118962,1.1434133938189077,0.6994629659075621,0.7099099692175884,0.3439154448527748,1.108231117979582,0.09587881136700178,0.08651517703437041,1.6932853679428388,1
