video_uid,conversation_uid,conversation_id,level_label,stage,trajectory_type,n_turns,maximum_lag,recurrence_threshold,mean_pairwise_distance,mean_adjacent_distance,temporal_locality_observed,temporal_locality_null_mean,temporal_locality_null_sd,temporal_locality_z,temporal_locality_p_perm,lag_growth_slope_observed,lag_growth_slope_null_mean,lag_growth_slope_null_sd,lag_growth_slope_z,lag_growth_slope_p_perm,lag_contrast_observed,lag_contrast_null_mean,lag_contrast_null_sd,lag_contrast_z,lag_contrast_p_perm,recurrence_determinism_observed,recurrence_determinism_null_mean,recurrence_determinism_null_sd,recurrence_determinism_z,recurrence_determinism_p_perm
moravec,moravec::wired_moravec_13,wired_moravec_13,teenager,End,joint,10,3,0.9511907533820544,1.1310635805626033,1.0435872207952688,0.07733991375075733,-0.014332407135148757,0.03558619550639582,2.5760641052351336,0.003992015968063872,0.12027752987585906,-0.011805968596439599,0.09588852474600078,1.3774692938719706,0.10578842315369262,0.08444811974987876,-0.005573260225056268,0.06732863758625753,1.3370444316447794,0.0998003992015968,0.0,0.037,0.13101652819901255,-0.2824071169386922,1.0
moravec,moravec::wired_moravec_13,wired_moravec_13,teenager,Middle,joint,9,3,0.9307989884016321,1.1886227067837756,1.1145223436074456,0.06234136598049167,0.019129721764266916,0.041932354077540916,1.0305084264126498,0.1497005988023952,0.06252355529615543,0.0034768995428385223,0.11872607324508208,0.4973352031228133,0.35728542914171657,0.04245297039254414,-0.002039140949028612,0.08342289445262231,0.5333321462112633,0.34331337325349304,0.0,0.086,0.2008765028704891,-0.42812374155799937,1.0
nano,nano::wired_nano_12,wired_nano_12,child,End,joint,8,3,0.955650479497258,1.1815969376120772,1.1681241204287727,0.011402210647678324,-0.013735036887154429,0.021945447976263407,1.145442442643306,0.20758483033932135,0.006036381711718169,-0.005455640615688209,0.058229785041790494,0.1973564271130102,0.4291417165668663,-0.0002649436329444921,-0.00029510729247252685,0.04073082973824609,0.0007405608901630405,0.5089820359281437,0.0,0.3473333333333334,0.3480767529770369,-0.9978642077146918,1.0
nano,nano::wired_nano_14,wired_nano_14,undergraduate,Beginning,joint,8,3,1.0482412424930667,1.2252776787346906,1.2129565825518367,0.010055758296011352,0.0023660951943560975,0.01841765371728657,0.41751589098658304,0.35728542914171657,-0.04818544117817254,0.0001939205122058994,0.054551194641369885,-0.8868616353580105,0.782435129740519,-0.028461527127652042,-0.0009129654126890847,0.038205082678789894,-0.7210705954120848,0.720558882235529,0.0,0.19866666666666666,0.34040331299454474,-0.5836214251823408,1.0
nano,nano::wired_nano_14,wired_nano_14,undergraduate,End,joint,8,3,0.9371622895056297,1.1566231215134213,1.0281629901758518,0.11106481354918929,0.01737428673017438,0.04242482758748809,2.2083891001279183,0.013972055888223553,0.2174151032588978,0.009526248404292755,0.12220082348881721,1.7012066606378415,0.011976047904191617,0.15277066089457525,0.0022024983971569477,0.08599803326079035,1.750832627076692,0.011976047904191617,0.0,0.0,0.0,,1.0
nano,nano::wired_nano_14,wired_nano_14,undergraduate,Middle,joint,8,3,0.9613446502731685,1.186773157781152,1.1576954624735212,0.024501477065756894,-0.012085006244521346,0.025636488097637404,1.427125399194204,0.07784431137724551,0.08374426704551978,-0.004583372618729264,0.07405868152122572,1.1926709718553894,0.11776447105788423,0.058892221645502674,0.00018007552834549068,0.052272515655674354,1.1231934292946888,0.12974051896207583,0.0,0.0,0.0,,1.0
nuclear,nuclear::wired_nuclear_12,wired_nuclear_12,child,Beginning,joint,10,3,0.7344326924986463,1.1122478415169472,1.188838409670432,-0.06886106252094515,-0.10694022719251675,0.017238435421047343,2.208968722595247,0.00998003992015968,0.02072236614352265,-0.0393711514235415,0.047112957380396954,1.2755199611406316,0.10179640718562874,0.0626182001887392,-0.0006163562983117541,0.03191571073589208,1.9812987092885892,0.01996007984031936,0.0,0.0,0.0,,1.0
nuclear,nuclear::wired_nuclear_12,wired_nuclear_12,child,End,joint,11,3,1.0895473510464435,1.256471315496348,1.2192120545339453,0.029653889032623115,0.0053216564726609895,0.019299331797086542,1.2607810889926956,0.11177644710578842,0.022961255013857415,0.0027867212347628964,0.0508220463515989,0.3969642158743931,0.36127744510978044,0.014446843817014665,6.366811603001055e-05,0.03564748929006893,0.40348355487104887,0.36327345309381237,0.0,0.08933333333333333,0.16560651467279544,-0.5394312748495294,1.0
nuclear,nuclear::wired_nuclear_12,wired_nuclear_12,child,Middle,joint,10,3,0.9643868736083531,1.1394480183836408,1.2031968878525428,-0.05594715023449037,-0.013512007930935314,0.04023097822636386,-1.0547877325972348,0.7924151696606786,-0.1340101275281649,-0.0033619593077703204,0.1131954879792778,-1.1541817660109543,0.8682634730538922,-0.07850245463495575,0.0009664881247088406,0.07884541333493036,-1.007908252342917,0.8263473053892215,0.4,0.127,0.24286271416006147,1.1240918596507006,0.23353293413173654
nuclear,nuclear::wired_nuclear_14,wired_nuclear_14,undergraduate,Beginning,joint,8,3,0.9654334542658984,1.1173866257882257,1.0815250750349372,0.03209412921690469,-0.007871836386629028,0.025544032066597885,1.5645911146421698,0.0718562874251497,0.06510774763681512,-0.005737060137864503,0.07124999393075646,0.9943131762723992,0.17564870259481039,0.04806647647660933,-0.0025396020220788346,0.050264076194801194,1.0068041100081402,0.17764471057884232,0.0,0.0,0.0,,1.0
