dataset,conversation_id,video_id,file_number,level,level_label,n_utterances,n_pairs,n_words,n_turns,embedding_dimension,k_used,pairwise_cosine_similarity_mean,pairwise_cosine_similarity_sd,pairwise_cosine_similarity_q10,pairwise_cosine_similarity_median,pairwise_cosine_similarity_q90,centroid_resultant_length,centroid_dispersion_cosine,radial_distance_mean_check,radial_distance_median,radial_distance_q90,pairwise_distance_mean,pairwise_distance_sd,pairwise_distance_q10,pairwise_distance_median,pairwise_distance_q90,pairwise_semantic_span,nearest_neighbor_distance_mean,nearest_neighbor_distance_median,knn_distance_median,maximum_available_rank,numerical_rank,total_variance,spectral_entropy,spectral_entropy_normalized,spectral_effective_rank,participation_ratio,pc1_variance_share,expert_n_utterances,partner_n_utterances,speaker_centroid_cosine_distance,speaker_centroid_euclidean_distance
wired,wired_laser_12,laser,12,0,child,73,2628,612,35,384,5,0.20343647035680162,0.17794914792934874,0.0474587743621779,0.15059863415730568,0.46940052608981586,0.4629776447410784,0.5370223552589216,0.5370223552589216,0.5303033208311159,0.7142704899122422,0.7965635296431983,0.17794914792934874,0.5305994739101849,0.8494013658426943,0.9525412256378221,0.42194175172763715,0.328213475480968,0.3527466770541723,0.5670862921672224,72,63,0.7965635296431984,3.5007987024180744,0.8185812511413711,33.14191191565653,19.012241677997206,0.16850635356349025,41,5,0.2581362724304199,0.3841280937194824
wired,wired_machine_12,machine,12,0,child,69,2346,638,35,384,5,0.16099851743118013,0.15919189672659817,0.010745350794019018,0.12291023302831178,0.37608767113211583,0.4161225290795247,0.5838774709204753,0.5838774709204754,0.5632543568106652,0.7063290517078671,0.8390014825688198,0.15919189672659817,0.6239123288678842,0.8770897669716883,0.9892546492059809,0.36534232033809677,0.33633713117175473,0.3582266670777182,0.5656215888399097,68,62,0.83900148256882,3.5412776099593493,0.8392632168002047,34.51098261202289,21.354120904541123,0.13463141385998806,34,8,0.34816306829452515,0.418845534324646
wired,wired_memory_12,memory,12,0,child,41,820,649,17,384,5,0.23484017528926845,0.17679641181278866,0.04668565653372798,0.1871316400229765,0.5013710535125072,0.5034904269579619,0.49650957304203813,0.4965095730420381,0.4855437104667333,0.6950241137502577,0.7651598247107314,0.17679641181278866,0.49862894648749284,0.8128683599770234,0.953314343466272,0.45468539697877913,0.3839250879127648,0.33960277085729407,0.6091257752111345,40,39,0.7651598247107316,3.2670839698551335,0.8856575582082507,26.234726441642525,18.85136457821156,0.1400826882247405,23,14,0.21155613660812378,0.3694157898426056
wired,wired_moravec_12,moravec,12,0,child,50,1225,461,29,384,5,0.19967435731374159,0.17186811565770335,0.04004428474731209,0.15653931571428528,0.4726658666071457,0.4644145456028124,0.5355854543971876,0.5355854543971875,0.5178453381136363,0.7015944301226934,0.8003256426862583,0.17186811565770335,0.5273341333928546,0.8434606842857147,0.9599557152526879,0.43262158185983324,0.31354900511816763,0.3123464323452776,0.5641211761568757,49,46,0.8003256426862586,3.2539752443394643,0.8361062420891276,25.893066867045604,17.27482473020246,0.15371066962797286,31,5,0.36031776666641235,0.4776670038700104
wired,wired_nano_12,nano,12,0,child,58,1653,514,22,384,5,0.18126393169667365,0.14618785689436925,0.028230472792532144,0.14922037914275507,0.37693474616799916,0.4420181792702102,0.5579818207297897,0.5579818207297899,0.5355851966376529,0.709439579944782,0.8187360683033263,0.14618785689436925,0.6230652538320008,0.8507796208572449,0.9717695272074678,0.34870427337546694,0.3917165691569092,0.3949965546415052,0.6232052786829667,57,54,0.8187360683033265,3.51906614591977,0.8703985957132259,33.75289346431611,23.655212410877173,0.1147046960889422,39,5,0.2966853976249695,0.40448862314224243
wired,wired_neuro_12,neuro,12,0,child,12,66,150,9,384,5,0.2117761620402236,0.1737432908740792,0.03959197679218095,0.1492397247395495,0.4725304779663543,0.5267461265830105,0.47325387341698955,0.4732538734169894,0.4042639410309032,0.6943641086697832,0.7882238379597765,0.1737432908740792,0.5274695220336457,0.8507602752604505,0.960408023207819,0.4329385011741733,0.5611735036415177,0.5274695220336457,0.7259445887642783,11,11,0.7882238379597767,2.2578516591903104,0.9415972769133375,9.562523524139023,8.541462650684986,0.20440860791269697,8,3,0.5125313997268677,0.639397144317627
wired,wired_nuclear_12,nuclear,12,0,child,73,2628,788,31,384,5,0.17811794304829046,0.14365408466785942,0.03389273223044353,0.1536722498361927,0.3405488694193607,0.4351742195520059,0.5648257804479941,0.564825780447994,0.548040872808616,0.7039572856523715,0.8218820569517096,0.14365408466785942,0.6594511305806394,0.8463277501638073,0.9661072677695566,0.30665613718891716,0.3907874467153789,0.40907439869323325,0.598944296858569,72,67,0.8218820569517093,3.6882363927334882,0.8624092435773432,39.974285813568315,25.739504606772876,0.1264510534275431,42,12,0.25165921449661255,0.34386885166168213
wired,wired_sensing_12,sensing,12,0,child,52,1326,476,31,384,5,0.17861706953055517,0.15532588803046918,0.029102896686298806,0.14041190870863504,0.3655667027874584,0.4409227768175579,0.5590772231824421,0.5590772231824421,0.5459451841875778,0.6864671779069327,0.821382930469445,0.1553258880304692,0.6344332972125416,0.8595880912913649,0.9708971033137013,0.33646380610115967,0.38978417066714016,0.4117477655125919,0.6266263463028146,51,46,0.821382930469445,3.378653433748539,0.8593090714980414,29.33124804031908,20.07213935623229,0.1383986883503286,27,8,0.21297037601470947,0.3387795686721802
wired,wired_sleep_12,sleep,12,0,child,93,4278,829,51,384,5,0.1582162247657996,0.14054378693402464,0.019514686775076288,0.1276135035508304,0.33677173635216556,0.4089836955297584,0.5910163044702417,0.5910163044702418,0.5890910474779605,0.701108610295583,0.8417837752342006,0.14054378693402464,0.6632282636478345,0.8723864964491697,0.9804853132249237,0.3172570495770892,0.3770558198761847,0.43290351021174023,0.6420464414188227,92,89,0.8417837752342003,3.8652206726338045,0.8547990704944197,47.71380040103205,29.224935661310123,0.11781999788448143,47,9,0.27204442024230957,0.3728709816932678
wired,wired_time_12,time,12,0,child,80,3160,667,29,384,5,0.17039943806582325,0.127580879811663,0.041801995608458334,0.14351214603212342,0.33407710677439373,0.4251699014394133,0.5748300985605868,0.5748300985605866,0.5573424586071374,0.6878869225850658,0.8296005619341768,0.127580879811663,0.6659228932256063,0.8564878539678766,0.9581980043915417,0.2922751111659354,0.39058850716364424,0.4222835466221716,0.6287857386345681,79,76,0.8296005619341769,3.804743084875356,0.8707606117160022,44.91370961930814,30.794844665673487,0.09886354050117932,47,5,0.25043898820877075,0.3996313512325287
